Dev,CO2,rep,punch_diameter_mm,punch_area_mm2,punch_m2,starch_microgram_glucose,starch_micromol_glucose,starch_nmol_glucose,starch_mmol,starch_mmol_m2,glucose_nmol,fructose_nmol,sucrose_nmol,glucose_mmol_m2,fructose_mmol_m2,sucrose_mmol_m2,protein_microgram,protein_g,protein_g_m2
Expanding,370,A,5.8,26.42079422,2.64208E-05,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Expanding,370,B,5.8,26.42079422,2.64208E-05,.,.,.,.,.,57.21338497,5.721338497,544.9574918,2.165468021,0.216546802,20.6260829,136.559489,0.000136559,5.16863679
Expanding,370,C,5.8,26.42079422,2.64208E-05,.,.,.,.,.,71.51673121,0,497.7564492,2.706835026,0,18.83957178,100.9418642,0.000100942,3.820546173
Expanding,370,D,5.8,26.42079422,2.64208E-05,.,.,.,.,.,42.91003872,0,477.7317645,1.624101016,0,18.08165798,110.0357259,0.000110036,4.164739522
Expanding,370,E,5.8,26.42079422,2.64208E-05,.,.,.,.,.,37.18870023,37.18870023,386.1903485,1.407554214,1.407554214,14.61690914,79.72285374,7.97229E-05,3.017428359
Expanding,370,F,5.8,26.42079422,2.64208E-05,.,.,.,.,.,42.91003872,0,450.5554066,1.624101016,0,17.05306067,102.4575078,0.000102458,3.877911732
Expanding,370,G,5.8,26.42079422,2.64208E-05,.,.,.,.,.,22.88535399,17.16401549,376.1780061,0.866187208,0.649640406,14.23795224,88.05889358,8.80589E-05,3.332938929
Expanding,370,H,5.8,26.42079422,2.64208E-05,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Expanding,750,A,5.8,26.42079422,2.64208E-05,.,.,.,.,.,68.65606196,11.44267699,506.3384569,2.598561625,0.433093604,19.16439199,120.6452311,0.000120645,4.566298429
Expanding,750,B,5.8,26.42079422,2.64208E-05,.,.,.,.,.,85.82007745,17.16401549,440.5430642,3.248202031,0.649640406,16.67410376,127.4656274,0.000127466,4.824443441
Expanding,750,C,5.8,26.42079422,2.64208E-05,.,.,.,.,.,60.07405421,0,460.567749,2.273741422,0,17.43201757,107.0044387,0.000107004,4.050008406
Expanding,750,D,5.8,26.42079422,2.64208E-05,.,.,.,.,.,82.9594082,0,453.4160759,3.13992863,0,17.16133407,100.9418642,0.000100942,3.820546173
Expanding,750,E,5.8,26.42079422,2.64208E-05,.,.,.,.,.,37.18870023,0,399.0633601,1.407554214,0,15.10413945,131.2547364,0.000131255,4.967857337
Expanding,750,F,5.8,26.42079422,2.64208E-05,.,.,.,.,.,45.77070797,0,399.0633601,1.732374417,0,15.10413945,116.8561221,0.000116856,4.422884534
Expanding,750,G,5.8,26.42079422,2.64208E-05,.,.,.,.,.,74.37740046,14.30334624,410.5060371,2.815108427,0.541367005,15.53723305,102.4575078,0.000102458,3.877911732
Expanding,750,H,5.8,26.42079422,2.64208E-05,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Fully_expanded,370,A,11.75,108.4340339,0.000108434,97.43297724,0.540813595,540.8135948,0.000540814,4.9874894,3.432803098,10.29840929,528.6516771,0.031657986,0.094973957,4.875329801,268.4204828,0.00026842,2.475426516
Fully_expanded,370,B,11.75,108.4340339,0.000108434,132.0534986,0.732979011,732.979011,0.000732979,6.759676685,3.432803098,0,442.8315996,0.031657986,0,4.083880158,288.8816715,0.000288882,2.664123625
Fully_expanded,370,C,11.75,108.4340339,0.000108434,113.7249873,0.631244379,631.2443789,0.000631244,5.821459887,17.16401549,0,437.682395,0.158289929,0,4.036393179,287.3660279,0.000287366,2.650146061
Fully_expanded,370,D,11.75,108.4340339,0.000108434,213.513549,1.185132932,1185.132932,0.001185133,10.92952912,0,0,456.562812,0,0,4.210512101,307.8272166,0.000307827,2.83884317
Fully_expanded,370,E,11.75,108.4340339,0.000108434,.,.,.,.,.,0,3.432803098,430.8167888,0,0.031657986,3.973077208,252.506225,0.000252506,2.328662098
Fully_expanded,370,F,11.75,108.4340339,0.000108434,152.4185112,0.846017491,846.0174912,0.000846017,7.802139794,3.432803098,0,441.1151981,0.031657986,0,4.068051165,257.8109776,0.000257811,2.377583571
Fully_expanded,370,G,11.75,108.4340339,0.000108434,132.0534986,0.732979011,732.979011,0.000732979,6.759676685,30.89522788,3.432803098,437.682395,0.284921871,0.031657986,4.036393179,215.3729566,0.000215373,1.98621179
Fully_expanded,370,H,11.75,108.4340339,0.000108434,195.1850376,1.083398299,1083.398299,0.001083398,9.991312323,233.4306107,13.73121239,755.2166815,2.152743029,0.126631943,6.964756859,241.8967197,0.000241897,2.230819153
Fully_expanded,750,A,11.75,108.4340339,0.000108434,331.6306219,1.840756116,1840.756116,0.001840756,16.97581515,78.95447125,6.865606196,839.3203574,0.728133672,0.063315971,7.740377509,278.2721663,0.000278272,2.56628068
Fully_expanded,750,B,11.75,108.4340339,0.000108434,.,.,.,.,.,65.22325886,3.432803098,832.4547512,0.601501729,0.031657986,7.677061537,292.6707806,0.000292671,2.699067534
Fully_expanded,750,C,11.75,108.4340339,0.000108434,394.7621609,2.191175405,2191.175405,0.002191175,20.20745079,51.49204647,0,880.5139946,0.474869786,0,8.120273337,297.2177114,0.000297218,2.741000225
Fully_expanded,750,D,11.75,108.4340339,0.000108434,388.6526571,2.157263861,2157.263861,0.002157264,19.89471186,58.35765266,0,914.8420256,0.538185757,0,8.436853195,272.2095919,0.00027221,2.510370425
Fully_expanded,750,E,11.75,108.4340339,0.000108434,213.513549,1.185132932,1185.132932,0.001185133,10.92952912,82.38727435,0,834.1711528,0.759791657,0,7.69289053,270.6939483,0.000270694,2.496392861
Fully_expanded,750,F,11.75,108.4340339,0.000108434,209.4405464,1.162525236,1162.525236,0.001162525,10.7210365,58.35765266,3.432803098,810.1415311,0.538185757,0.031657986,7.47128463,275.2408791,0.000275241,2.538325552
Fully_expanded,750,G,11.75,108.4340339,0.000108434,178.8930276,0.992967515,992.9675153,0.000992968,9.157341836,123.5809115,0,863.3499791,1.139687486,0,7.961983409,246.4436505,0.000246444,2.272751844
Fully_expanded,750,H,11.75,108.4340339,0.000108434,244.0610678,1.354690652,1354.690652,0.001354691,12.49322378,85.82007745,0,937.1552457,0.791449643,0,8.642630102,255.5375122,0.000255538,2.356617225
