Probe_Set_ID,BINCODE,NAME
244926_s_at,28.1,DNA.synthesis/chromatin structure
244926_s_at,35.2,not assigned.unknown
244944_s_at,29.2.1.1.2.1.3,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S3
244944_s_at,29.2.1.1.2.1.16,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S16
244953_s_at,9.1.2,mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear
244953_s_at,35.1,not assigned.no ontology
245089_at,1.3.8,PS.calvin cyle.transketolase
245089_at,7.2.1,OPP.non-reductive PP.transketolase
245131_s_at,33.99,development.unspecified
245131_s_at,35.1,not assigned.no ontology
245161_at,16.5.1.3.2,secondary metabolism.sulfur-containing.glucosinolates.degradation.nitrilespecifier protein
245161_at,26.16,misc.myrosinases-lectin-jacalin
245187_s_at,29.3.4.99,protein.targeting.secretory pathway.unspecified
245187_s_at,35.2,not assigned.unknown
245218_s_at,20.1,stress.biotic
245218_s_at,20.1.7,stress.biotic.PR-proteins
245247_at,27.3.21,RNA.regulation of transcription.GRAS transcription factor family
245247_at,30.11,signalling.light
245247_at,33.99,development.unspecified
245255_at,30.11.1,signalling.light.COP9 signalosome
245255_at,33.99,development.unspecified
245359_at,11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase
245359_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
245446_at,11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase
245446_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
245484_at,11.9.4.4,lipid metabolism.lipid degradation.beta-oxidation.hydroxybutyryl CoA DH
245484_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
245612_at,11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase
245612_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
245633_at,27.3,RNA.regulation of transcription
245633_at,31.1,cell.organisation
245646_x_at,35.1,not assigned.no ontology
245646_x_at,35.2,not assigned.unknown
245651_s_at,29.5.11.4.3.2,protein.degradation.ubiquitin.E3.SCF.FBOX
245651_s_at,35.1,not assigned.no ontology
245675_at,28.1,DNA.synthesis/chromatin structure
245675_at,28.1.1.3,DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon
245751_s_at,31.3,cell.cycle
245751_s_at,35.2,not assigned.unknown
245810_at,35.1,not assigned.no ontology
245810_at,35.2,not assigned.unknown
245881_at,27.3.6,"RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family"
245881_at,35.2,not assigned.unknown
246037_at,27.3.99,RNA.regulation of transcription.unclassified
246037_at,31.2,cell.division
246050_s_at,29.4,protein.postranslational modification
246050_s_at,30.3,signalling.calcium
246214_at,20.2.1,stress.abiotic.heat
246214_at,35.2,not assigned.unknown
246272_at,17.5.3,hormone metabolism.ethylene.induced-regulated-responsive-activated
246272_at,26.8,"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"
246302_at,34.12,transport.metal
246302_at,34.21,transport.calcium
246303_at,34.9,transport.metabolite transporters at the mitochondrial membrane
246303_at,34.21,transport.calcium
246303_at,34.99,transport.misc
246340_s_at,17.8.1,hormone metabolism.salicylic acid.synthesis-degradation
246340_s_at,29.4,protein.postranslational modification
246434_at,2.2.2.6,major CHO metabolism.degradation.starch.transporter
246434_at,34.8,transport.metabolite transporters at the envelope membrane
246481_s_at,17.1.3,hormone metabolism.abscisic acid.induced-regulated-responsive-activated
246481_s_at,31.1,cell.organisation
246490_at,22.1.2,polyamine metabolism.synthesis.SAM decarboxylase
246490_at,35.2,not assigned.unknown
246508_at,2.2.2.6,major CHO metabolism.degradation.starch.transporter
246508_at,34.2,transporter.sugars
246531_at,27.3.24,RNA.regulation of transcription.MADS box transcription factor family
246531_at,33.99,development.unspecified
246641_s_at,35.1,not assigned.no ontology
246641_s_at,35.2,not assigned.unknown
246643_s_at,28.1.1,DNA.synthesis/chromatin structure.retrotransposon/transposase
246643_s_at,28.99,DNA.unspecified
246643_s_at,29.5,protein.degradation
246643_s_at,29.5.3,protein.degradation.cysteine protease
246643_s_at,35.1,not assigned.no ontology
246643_s_at,35.2,not assigned.unknown
246724_at,27.3.20,"RNA.regulation of transcription.G2-like transcription factor family, GARP"
246724_at,27.3.25,RNA.regulation of transcription.MYB domain transcription factor family
246764_s_at,27.3.67,RNA.regulation of transcription.putative transcription regulator
246764_s_at,34.11,transport.NDP-sugars at the ER
