Dev	CO2	rep	punch_diameter_mm	punch_area_mm2	punch_m2	fructose_mmol_m2	sucrose_mmol_m2	protein_microgram	protein_g	protein_g_m2	avg_SLA	fruc_g
30	750	B	11.75	108.4340339	0.000108434	0.031657986	7.677061537	292.6707806	0.000292671	2.699067534	0.04005566	0.001268082
30	750	F	11.75	108.4340339	0.000108434	0.031657986	7.47128463	275.2408791	0.000275241	2.538325552	0.04005566	0.001268082
30	370	E	11.75	108.4340339	0.000108434	0.031657986	3.973077208	252.506225	0.000252506	2.328662098	0.04445763	0.001407439
30	370	G	11.75	108.4340339	0.000108434	0.031657986	4.036393179	215.3729566	0.000215373	1.98621179	0.04445763	0.001407439
30	750	A	11.75	108.4340339	0.000108434	0.063315971	7.740377509	278.2721663	0.000278272	2.56628068	0.04005566	0.002536163
30	370	A	11.75	108.4340339	0.000108434	0.094973957	4.875329801	268.4204828	0.00026842	2.475426516	0.04445763	0.004222317
30	370	H	11.75	108.4340339	0.000108434	0.126631943	6.964756859	241.8967197	0.000241897	2.230819153	0.04445763	0.005629756
23	370	B	5.8	26.42079422	2.64E-05	0.216546802	20.6260829	136.559489	0.000136559	5.16863679	0.0492081	0.010655857
23	750	A	5.8	26.42079422	2.64E-05	0.433093604	19.16439199	120.6452311	0.000120645	4.566298429	0.04706205	0.020382273
23	750	G	5.8	26.42079422	2.64E-05	0.541367005	15.53723305	102.4575078	0.000102458	3.877911732	0.04706205	0.025477841
23	750	B	5.8	26.42079422	2.64E-05	0.649640406	16.67410376	127.4656274	0.000127466	4.824443441	0.04706205	0.030573409
23	370	G	5.8	26.42079422	2.64E-05	0.649640406	14.23795224	88.05889358	8.81E-05	3.332938929	0.0492081	0.03196757
23	370	E	5.8	26.42079422	2.64E-05	1.407554214	14.61690914	79.72285374	7.97E-05	3.017428359	0.0492081	0.069263069
23	370	A	5.8	26.42079422	2.64E-05	NA	NA	NA	NA	NA	0.0492081	NA
23	370	C	5.8	26.42079422	2.64E-05	NA	18.83957178	100.9418642	0.000100942	3.820546173	0.0492081	NA
23	370	D	5.8	26.42079422	2.64E-05	NA	18.08165798	110.0357259	0.000110036	4.164739522	0.0492081	NA
23	370	F	5.8	26.42079422	2.64E-05	NA	17.05306067	102.4575078	0.000102458	3.877911732	0.0492081	NA
23	370	H	5.8	26.42079422	2.64E-05	NA	NA	NA	NA	NA	0.0492081	NA
23	750	C	5.8	26.42079422	2.64E-05	NA	17.43201757	107.0044387	0.000107004	4.050008406	0.04706205	NA
23	750	D	5.8	26.42079422	2.64E-05	NA	17.16133407	100.9418642	0.000100942	3.820546173	0.04706205	NA
23	750	E	5.8	26.42079422	2.64E-05	NA	15.10413945	131.2547364	0.000131255	4.967857337	0.04706205	NA
23	750	F	5.8	26.42079422	2.64E-05	NA	15.10413945	116.8561221	0.000116856	4.422884534	0.04706205	NA
23	750	H	5.8	26.42079422	2.64E-05	NA	NA	NA	NA	NA	0.04706205	NA
30	370	B	11.75	108.4340339	0.000108434	NA	4.083880158	288.8816715	0.000288882	2.664123625	0.04445763	NA
30	370	C	11.75	108.4340339	0.000108434	NA	4.036393179	287.3660279	0.000287366	2.650146061	0.04445763	NA
30	370	D	11.75	108.4340339	0.000108434	NA	4.210512101	307.8272166	0.000307827	2.83884317	0.04445763	NA
30	370	F	11.75	108.4340339	0.000108434	NA	4.068051165	257.8109776	0.000257811	2.377583571	0.04445763	NA
30	750	C	11.75	108.4340339	0.000108434	NA	8.120273337	297.2177114	0.000297218	2.741000225	0.04005566	NA
30	750	D	11.75	108.4340339	0.000108434	NA	8.436853195	272.2095919	0.00027221	2.510370425	0.04005566	NA
30	750	E	11.75	108.4340339	0.000108434	NA	7.69289053	270.6939483	0.000270694	2.496392861	0.04005566	NA
30	750	G	11.75	108.4340339	0.000108434	NA	7.961983409	246.4436505	0.000246444	2.272751844	0.04005566	NA
30	750	H	11.75	108.4340339	0.000108434	NA	8.642630102	255.5375122	0.000255538	2.356617225	0.04005566	NA
