"Probe_Set_ID"	"AT_number"	"Description"	"CO2_pvalue"	"Dev_pvalue"	"CO2byDev_pvalue"	"percentchangeco2_primordia"	"percentchangeco2_expanding"	"percentchangeco2_fullexpand"	"Kmeans_cluster"	"mapman_bin"	"mapman_bin2"	"mapman_bin3"
"245001_at"	"psbM"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.0318	0.1142	0.5697	-8.00425261209437	-27.4059693796314	-23.8297134549289	4	"1.1.1.2"	NA	NA
"245013_at"	"atpE"	"PS.lightreaction.ATP synthase.epsilon chain"	0.041	9.999e-05	0.7513	-5.92618756611087	-3.53483997606395	-8.52433220076243	4	"1.1.4.3"	NA	NA
"245035_at"	"At2g26400"	"not assigned.no ontology"	0.0081	9.999e-05	0.603	41.1584139857947	131.201219486232	111.720261375275	7	"35.1"	NA	NA
"245039_at"	"At2g26600"	"misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase"	0.0392	9.999e-05	0.4258	2.77930257417733	24.4239759637136	15.8517379456721	4	"26.4.1"	NA	NA
"245042_at"	"At2g26540"	"tetrapyrrole synthesis.uroporphyrinogen III synthase"	0.0128	9.999e-05	0.0903	1.12324373689363	-16.4116436284407	-24.0229272889114	5	"19.6"	NA	NA
"245051_at"	"At2g23320"	"RNA.regulation of transcription.WRKY domain transcription factor family"	0.0408	9.999e-05	0.0892	-5.30300526452466	56.8364829370179	18.4485288504763	4	"27.3.32"	NA	NA
"245052_at"	"At2g26440"	"cell wall.pectin*esterases.PME"	6e-04	4e-04	0.0659	13.5901203796608	73.7918930614992	125.360976503071	6	"10.8.1"	NA	NA
"245063_at"	"At2g39795"	"not assigned.no ontology"	0.2961	9.999e-05	0.001	2.9011544445686	-22.076497676598	49.7339095821395	7	"35.1"	NA	NA
"245084_at"	"At2g23290"	"RNA.regulation of transcription.MYB domain transcription factor family"	0.0029	0.4608	0.6139	16.2935829134993	28.3309861310964	35.7817556759068	6	"27.3.25"	NA	NA
"245094_at"	"At2g40840"	"major CHO metabolism.degradation.starch.D enzyme"	0.0143	9.999e-05	0.2147	-3.34429209945261	-26.4497130901676	-13.580490316866	4	"2.2.2.4"	NA	NA
"245109_at"	"At2g41520"	"stress.abiotic.heat"	0.0129	7e-04	0.2283	-4.90175321031329	-11.3212380313041	-23.143941735808	5	"20.2.1"	NA	NA
"245112_at"	"At2g41540"	"lipid metabolism.glyceral metabolism.Glycerol-3-phosphate dehydrogenase (NAD+)"	0.0144	9.999e-05	0.7906	-11.1711327483417	-15.0809213828545	-19.3733610633873	7	"11.5.2"	NA	NA
"245117_at"	"At2g41560"	"signalling.calcium"	0.775	9.999e-05	0.0308	18.7396636604241	-5.13215473933792	-14.973052587328	4	"30.3"	NA	NA
"245121_at"	"At2g47610"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L7A"	0.0707	9.999e-05	0.001	3.2151848716494	-25.3799365054887	7.17557550371504	7	"29.2.1.2.2.57"	NA	NA
"245130_at"	"At2g45340"	"signalling.receptor kinases.leucine rich repeat IV"	0.0197	9.999e-05	0.0089	11.7219155755807	-16.3929441714141	-41.4829249679758	7	"30.2.4"	NA	NA
"245156_at"	"At5g12480"	"signalling.calcium"	0.0173	0.0027	0.066	-4.17467824401332	24.7621760439839	26.2516416396245	3	"30.3"	NA	NA
"245181_at"	"At5g12420"	"mitochondrial electron transport / ATP synthesis.F1-ATPase"	0.3974	9.999e-05	0.008	-19.2026928489362	-3.81763818200565	59.8673688316755	7	"9.9"	NA	NA
"245188_at"	"At1g67660"	"not assigned.unknown"	0.0205	9.999e-05	0.0364	9.51307878503943	-30.6716779453132	-22.1749604784563	5	"35.2"	NA	NA
"245196_at"	"At1g67750"	"cell wall.degradation.pectate lyases and polygalacturonases"	0.0041	9.999e-05	0.2006	-23.6555015983962	-17.981008031024	-49.3399826004754	5	"10.6.3"	NA	NA
"245199_at"	"At1g67730"	"secondary metabolism.wax"	0.0012	9.999e-05	0.5094	-12.261677814108	-14.8699245878728	-6.99469589238336	7	"16.7"	NA	NA
"245200_at"	"At1g67850"	"not assigned.unknown"	0.004	0.0011	0.0209	-6.03730024512133	44.4369339118552	38.9658116010073	6	"35.2"	NA	NA
"245201_at"	"At1g67840"	"signalling.receptor kinases.misc"	7e-04	9.999e-05	0.0321	-10.3098886273214	-4.78908563978814	-25.8644654002379	4	"30.2.99"	NA	NA
"245210_at"	"At5g12350"	"cell.division"	0.5319	0.1324	0.0495	17.3808640941604	3.6175791655883	-10.6358725862477	2	"31.2"	NA	NA
"245211_at"	"At5g12370"	"cell.vesicle transport"	0.0209	9.999e-05	0.0097	3.12781307635525	-5.15353075368852	-10.3631655311703	4	"31.4"	NA	NA
"245235_at"	"At4g25550"	"not assigned.unknown"	0.6498	9.999e-05	0.018	13.0532238099118	-8.86683752955967	0.738828492134782	7	"35.2"	NA	NA
"245238_at"	"At4g25570"	"redox.ascorbate and glutathione"	0.5429	9.999e-05	0.0098	-4.28830744556251	15.7570393503495	-5.43940555925951	4	"21.2"	NA	NA
"245248_at"	"At4g15415"	"protein.postranslational modification"	0.0221	0.0379	0.9929	8.62682151512291	9.358844444843	9.65190781056323	5	"29.4"	NA	NA
"245254_at"	"At4g14680"	"S-assimilation.APS"	0.049	9.999e-05	0.2731	23.59884890769	-2.17587660560787	22.5054519880114	4	"14.1"	NA	NA
"245260_at"	"At4g16360"	"signalling.in sugar and nutrient physiology"	0.2682	9.999e-05	6e-04	-9.42545490104404	-7.41603398300975	11.4669729745339	4	"30.1.1"	NA	NA
"245266_at"	"At4g17070"	"not assigned.unknown"	3e-04	9.999e-05	0.3821	14.4391770328591	31.6447013640537	17.3313735490702	4	"35.2"	NA	NA
"245270_at"	"At4g14960"	"cell.organisation"	0.0264	9.999e-05	0.7131	-5.25510947748662	-6.06934297034142	-10.4238295591861	7	"31.1"	NA	NA
"245284_at"	"At4g14210"	"secondary metabolism.isoprenoids.carotenoids.phytoene dehydrogenase"	0.197	9.999e-05	0.033	11.3821528159223	-11.0607532561521	-14.7714176825069	4	"16.1.4.2"	NA	NA
"245287_at"	"At4g14910"	"amino acid metabolism.synthesis.histidine.imidazoleglycerol-phosphate dehydratase"	0.1063	9.999e-05	0.0152	8.62717104003634	-9.03116435786788	-13.7120205283149	4	"13.1.7.5"	NA	NA
"245291_at"	"At4g16155"	"lipid metabolism.FA synthesis and FA elongation.pyruvate DH"	0.0254	0.0021	0.2839	-1.39472243724514	-24.6353526076244	-22.4642009284321	5	"11.1.31"	NA	NA
"245293_at"	"At4g16660"	"stress.abiotic.heat"	0.0179	0.0083	0.1632	-0.287196706773977	30.1677171929784	39.7678953448829	6	"20.2.1"	NA	NA
"245301_at"	"At4g17190"	"secondary metabolism.isoprenoids.mevalonate pathway.farnesyl pyrophosphate synthetase"	0.0221	9.999e-05	0.1971	-0.590573430788945	-17.6657814395687	-9.69288374519448	7	"16.1.2.9"	NA	NA
"245313_at"	"At4g15420"	"RNA.processing"	0.6035	9.999e-05	0.0428	-7.37957154138497	-0.1014597749112	13.7343900305904	4	"27.1"	NA	NA
"245316_at"	"At4g14000"	"not assigned.unknown"	0.0232	9.999e-05	0.0348	1.58624750773681	-16.0526739178425	-4.03700122867444	7	"35.2"	NA	NA
"245318_at"	"At4g16985"	"cell wall.cell wall proteins.AGPs"	0.6207	9.999e-05	0.0274	18.7397549670512	-4.61697476567215	-18.660628282839	4	"10.5.1"	NA	NA
"245329_at"	"At4g14365"	"cell.organisation"	0.001	9.999e-05	0.6874	171.587724133078	150.199736624714	81.1644724134423	4	"31.1"	NA	NA
"245333_at"	"At4g14615"	"not assigned.unknown"	0.0019	9.999e-05	0.0676	0.628146633102573	14.5618131316902	14.7202432835914	3	"35.2"	NA	NA
"245334_at"	"At4g15800"	"signalling.misc"	0.1008	9.999e-05	0.044	-4.30443970584796	19.14901076178	3.50367198213316	4	"30.8"	NA	NA
"245336_at"	"At4g16515"	"not assigned.unknown"	0.0097	9.999e-05	0.1448	-15.1245100089117	-6.55554391293264	-35.8184781475577	5	"35.2"	NA	NA
"245338_at"	"At4g16442"	"not assigned.no ontology"	0.0043	9.999e-05	0.1409	-2.42396033492299	-15.2146365655232	-19.8763264738511	7	"35.1"	NA	NA
"245342_at"	"At4g16720"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L15"	0.0722	9.999e-05	0.01	1.62062699003275	-20.405763351385	2.84028561366984	7	"29.2.1.2.2.15"	NA	NA
"245355_at"	"At4g17390"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L15"	0.0249	9.999e-05	0.0595	-1.66139238024798	-23.1239830990324	-2.84400016041977	7	"29.2.1.2.2.15"	NA	NA
"245357_at"	"At4g17560"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L19"	0.0351	9.999e-05	0.3799	-1.89406102334918	-17.7029094966586	-17.2163986763772	5	"29.2.1.1.1.2.19"	NA	NA
"245358_at"	"At4g15900"	"signalling.in sugar and nutrient physiology"	0.014	9.999e-05	0.0686	1.41450389666758	-9.66525296814137	-14.2215812821477	7	"30.1.1"	NA	NA
"245359_at"	"At4g14430"	"lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase"	0.0248	0.0045	0.2757	5.65390405211983	5.74338168847332	22.0089197069239	3	"11.9.4.3"	"13.2.6.3"	NA
"245367_at"	"At4g16265"	"RNA.transcription"	0.6086	9.999e-05	0.0026	9.1984947901902	-18.919913230823	19.9007946311378	7	"27.2"	NA	NA
"245372_at"	"At4g15000"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L27"	0.8204	9.999e-05	0.0164	5.68961023420046	-18.0364429292662	12.300003012304	7	"29.2.1.2.2.27"	NA	NA
"245373_s_at"	"At4g14716"	"metal handling.regulation"	0.0048	9.999e-05	0.0289	-1.76118680883438	12.5124854988514	16.9152815116123	4	"15.3"	NA	NA
"245383_at"	"At4g17810"	"RNA.regulation of transcription.C2H2 zinc finger family"	0.0971	0.0072	0.0015	44.2247495534239	-25.3632304130043	-42.3672621983448	4	"27.3.11"	NA	NA
"245386_at"	"At4g14010"	"signalling.misc"	0.0526	9.999e-05	0.0132	-5.81451734656844	8.13249173838063	-28.8029458908137	5	"30.8"	NA	NA
"245391_at"	"At4g16520"	"protein.degradation.autophagy"	0.2781	9.999e-05	0.0493	-8.56300515617607	20.5008221874069	4.10096740427631	4	"29.5.2"	NA	NA
"245395_at"	"At4g17420"	"not assigned.unknown"	0.0267	0.0271	0.0963	-0.758898841419578	11.9045632414896	30.6638382033942	3	"35.2"	NA	NA
"245399_at"	"At4g17340"	"transport.Major Intrinsic Proteins.TIP"	0.5713	9.999e-05	0.0033	-20.719938850582	10.4498826723496	24.3014396053262	4	"34.19.2"	NA	NA
"245400_at"	"At4g17040"	"protein.degradation.serine protease"	0.6836	9.999e-05	0.0234	8.00399868631054	-1.37807513750714	-8.83338213900747	5	"29.5.5"	NA	NA
