bin	name	Total	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7
1	Photosynthesis	182	2	0	2	160	8	0	10
2	major CHO metabolism	69	1	2	4	43	6	1	12
3	minor CHO metabolism	71	3	4	3	37	10	1	13
4	glycolysis	43	0	0	1	24	4	0	14
5	fermentation	11	0	0	1	3	2	1	4
6	gluconeogenese/ glyoxylate cycle	6	0	1	0	4	0	0	1
7	OPP	27	0	0	1	10	2	1	13
8	TCA / org. transformation	55	1	1	3	27	7	3	13
9	mitochondrial electron transport	80	0	9	8	17	16	3	34
10	cell wall	208	3	4	11	89	36	4	61
11	lipid metabolism	238	2	7	9	113	33	8	66
12	N-metabolism	17	0	0	1	10	0	1	5
13	amino acid metabolism	186	1	3	12	68	37	7	58
14	S-assimilation	12	0	0	0	11	1	0	0
15	metal handling	36	0	0	3	17	6	1	9
16	secondary metabolism	186	0	3	5	104	25	4	45
17	hormone metabolism	187	3	8	13	99	22	5	37
18	Co-factor and vitamin metabolism	63	1	2	3	32	8	1	16
19	tetrapyrrole synthesis	39	0	1	0	12	23	1	2
20	stress	367	4	8	17	199	27	10	102
21	redox	146	0	1	14	77	9	5	40
22	polyamine metabolism	10	0	0	0	4	2	0	4
23	nucleotide metabolism	112	1	1	5	38	18	1	48
24	Biodegradation of Xenobiotics	16	0	0	1	12	0	0	3
25	C1-metabolism	30	0	1	0	16	4	0	9
26	misc	505	9	14	25	255	62	13	127
27	RNA	1273	19	34	66	379	134	23	618
28	DNA	276	3	7	9	49	23	1	184
29	protein	1900	29	72	82	645	210	49	814
30	signalling	613	5	13	33	294	75	28	165
31	cell	443	2	13	20	149	51	8	200
32	"micro RNA, natural antisense etc."	1	0	0	0	0	0	0	1
33	development	322	3	10	17	121	40	8	123
34	transport	504	8	16	26	283	38	15	118
35	not assigned	3453	48	100	211	1302	393	79	1320
									
	total	11687	148	335	606	4703	1332	282	4289
