Probe_Set_ID	Value
263495_at	1
254125_at	1
267256_s_at	1
251858_at	1
264179_at	1
250565_at	1
248696_at	1
246505_at	1
261255_at	1
253585_at	1
262109_at	1
263150_at	1
245593_at	1
256021_at	1
261765_at	1
255032_at	1
256400_at	1
251730_at	1
247034_at	1
264377_at	1
255943_at	1
267472_at	1
251669_at	1
245188_at	1
260217_at	1
262236_at	1
253480_at	1
249948_at	1
261660_at	1
266087_at	1
249685_at	1
266715_at	1
250470_at	1
261605_at	1
250958_at	1
251791_at	1
266889_at	1
259858_at	1
254259_s_at	1
251860_at	1
252979_at	1
248975_at	1
261159_s_at	1
251299_at	1
257895_at	1
267220_at	1
253397_at	1
266119_at	1
254141_at	1
248903_at	1
262738_at	1
267316_at	1
248402_at	1
258086_at	1
258300_at	1
261165_at	1
260793_at	1
251244_at	1
253635_at	1
261859_at	1
259806_at	1
262648_at	1
258884_at	1
255696_at	1
248283_at	1
252646_at	1
251278_at	1
263048_s_at	1
256836_at	1
258135_at	1
251736_at	1
248547_at	1
260065_at	1
259591_at	1
252548_at	1
260967_at	1
257746_at	1
266035_at	1
250812_at	1
254267_at	1
254218_at	1
250403_at	1
266303_at	1
258355_at	1
263226_at	1
248420_at	1
247325_at	1
267376_at	1
250226_at	1
248608_at	1
263053_at	1
247348_at	1
248906_at	1
246847_at	1
254427_at	1
263425_at	1
260548_at	1
246124_at	1
262823_at	1
248679_at	1
260879_at	1
257938_at	1
252412_at	1
258041_at	1
266509_at	1
261921_at	1
249641_at	1
267362_at	1
255808_at	1
245810_at	1
254535_at	1
251333_at	1
262370_at	1
251068_at	1
261518_at	1
249331_at	1
251445_at	1
264177_at	1
262157_at	1
258949_at	1
260644_at	1
258048_at	1
258333_at	1
250111_at	1
262920_at	1
251676_at	1
263665_at	1
260371_at	1
245426_at	1
251140_at	1
250125_at	1
260384_at	1
252922_at	1
250854_at	1
255709_at	1
254615_at	1
250560_at	1
246613_at	1
251807_at	1
251297_at	1
264198_at	1
265843_at	1
267185_at	1
261355_at	1
266582_at	1
250768_at	1
262969_at	1
263755_at	1
247826_at	1
247216_at	1
263298_at	1
266904_at	1
256151_at	1
249690_at	1
246583_at	1
248817_at	1
250430_at	1
266099_at	1
261583_at	1
260229_at	1
264656_at	1
261685_at	1
253926_at	1
252023_at	1
253581_at	1
258499_at	1
251040_at	1
265033_at	1
261639_at	1
258310_at	1
255829_at	1
264664_at	1
252391_at	1
256770_at	1
245718_at	1
266207_at	1
260370_at	1
260454_at	1
264418_at	1
247405_at	1
255674_at	1
257313_at	1
260082_at	1
253300_at	1
257238_at	1
250203_at	1
263590_at	1
259092_at	1
254388_at	1
261880_at	1
262820_at	1
248882_at	1
255070_at	1
257749_at	1
250510_at	1
260138_at	1
AFFX-r2-At-GAPDH-3_s_at	1
254776_at	1
264399_at	1
251237_at	1
245373_s_at	1
259474_at	1
AFFX-Athal-GAPDH_M_s_at	1
247188_at	1
249183_at	1
248792_at	1
245333_at	1
266721_at	1
246398_at	1
257621_at	1
253868_at	1
250849_at	1
263785_at	1
256838_at	1
250307_at	1
249385_at	1
266474_at	1
267392_at	1
257088_at	1
252328_at	1
267154_at	1
258665_at	1
254348_at	1
252931_at	1
263583_at	1
255325_at	1
259588_at	1
258401_at	1
251773_at	1
250486_at	1
256835_at	1
260847_s_at	1
257805_at	1
258164_at	1
248138_at	1
256962_at	1
248524_s_at	1
255967_at	1
252134_at	1
266261_at	1
261413_at	1
253954_at	1
262571_at	1
262694_at	1
263777_at	1
254083_at	1
258500_at	1
254594_at	1
267364_at	1
249652_at	1
258140_at	1
253646_at	1
267064_at	1
249217_at	1
245156_at	1
262899_at	1
255714_at	1
254192_at	1
261032_at	1
266101_at	1
