Probe_Set_ID	Lsmean_ A _expanding	Lsmean_ A_fullexpand	Lsmean_A_primordia	Lsmean_ E_expanding	Lsmean_ E_fullexpand	Lsmean_E_primordia
244903_at	0.542318	0.668091	1.109863	0.971517	0.644531	1.029053
244904_at	-2.25618	-2.32239	-2.10937	-2.20589	-2.21411	-2.22534
244912_at	0.998698	0.113159	1.755859	1.189941	0.007568	1.578857
244920_s_at	-1.33398	-1.05627	-1.25146	-0.96859	-1.14673	-1.5271
244921_s_at	-1.61393	-1.32874	-1.9856	-1.46761	-1.42163	-1.86914
244929_at	0.23763	0.387817	0.458496	0.42041	0.223389	0.197998
244932_at	-0.38932	-0.14294	-1.48145	0.237467	-0.44189	-1.39014
244933_at	1.270508	1.710327	-0.43286	1.798665	1.433594	-0.1145
244934_at	0.189453	0.369263	-1.46313	0.367676	0.203369	-1.1875
244935_at	5.876628	5.793091	5.274414	5.818197	5.691406	5.293701
244936_at	4.762044	4.689087	3.914063	4.784342	4.521973	3.918701
244937_at	1.012695	0.911987	0.087646	1.170736	0.451904	-0.16235
244938_at	2.094076	1.031128	1.758301	2.186035	0.706543	1.761963
244939_at	1.941732	1.741333	1.466309	2.15153	1.53125	1.228027
244940_at	4.810872	4.711548	4.190918	4.919108	4.461914	3.960693
244944_s_at	0.472005	0.139038	1.454102	0.809408	0.490967	1.227295
244951_s_at	-1.99056	-1.48254	-1.62866	-1.79671	-1.31543	-1.88843
244959_s_at	-0.21582	-0.34436	0.019531	0.291504	-0.29907	-0.20093
244960_at	3.922201	3.8927	3.639648	3.919759	3.710938	3.602783
244961_at	4.74707	4.696411	3.952637	4.71403	4.458496	3.903564
244962_at	2.357096	2.478638	1.30957	2.611816	2.402832	1.424561
244963_at	4.829102	4.937622	3.879883	4.754395	4.720703	3.922607
244964_at	4.053711	4.094849	2.767578	3.883952	3.939453	2.814209
244965_at	0.974284	1.484009	0.05127	1.661947	1.473633	0.098633
244966_at	0.763997	1.13147	0.125488	1.404785	1.132813	0.010986
244967_at	3.978841	3.506958	3.080078	4.098145	3.393066	3.070557
244968_at	4.836263	4.092896	4.081543	4.807129	3.916016	4.127686
244969_at	2.613607	2.096313	2.307617	2.728353	2.108887	2.313721
244970_at	1.65918	1.220825	1.444824	1.915202	1.20166	1.321533
244971_at	4.923503	4.731079	4.354004	4.88916	4.436035	4.267822
244972_at	2.220378	2.505493	0.633057	2.551921	2.166504	0.369629
244973_at	1.208659	1.625122	-0.06787	1.430176	1.14209	-0.1106
244974_at	2.036133	1.327271	0.759766	2.165853	1.167969	0.678223
244975_at	3.590169	3.818481	2.670898	3.768717	3.62207	2.507568
244976_at	5.394206	5.312622	4.768555	5.438639	5.154785	4.692627
244977_at	-1.75553	-1.60046	-2.73889	-1.79281	-1.89673	-2.45459
244978_at	5.051107	4.898071	4.505859	5.094238	4.493652	4.596436
244979_at	5.419596	5.056274	5.016113	5.372884	4.73877	4.976807
244980_at	5.392904	5.124146	4.982422	5.421712	4.687012	4.848389
244981_at	4.120117	3.7052	3.581055	4.119629	3.382813	3.499756
244982_at	5.027669	4.652466	4.552246	4.964681	4.313477	4.458252
244983_at	5.023763	4.697388	4.61377	5.073405	4.440918	4.490479
244984_at	5.166341	4.865356	4.78418	5.156087	4.697754	4.755615
244985_at	5.37207	5.013306	4.992188	5.306478	4.77832	4.980713
244986_at	4.793294	4.541138	4.513672	4.78304	4.335937	4.480225
244987_s_at	5.827148	5.522583	5.385254	5.732259	5.333496	5.357178
244988_s_at	4.950195	4.733032	4.300781	5.066243	4.385742	4.271729
244989_s_at	-0.71517	-1.02136	-1.27051	-0.15641	-1.13306	-1.26782
244990_s_at	-1.53548	-1.69446	-2.3335	-1.20068	-1.97656	-1.94751
244991_s_at	-2.30762	-2.43298	-2.9436	-2.54932	-2.55103	-2.90637
244992_s_at	5.945638	5.86731	5.313477	6.002441	5.694336	5.220947
244993_s_at	4.424805	3.669556	4.241699	4.388509	3.467773	4.151611
244994_at	-1.74772	-2.20422	-2.61572	-1.74886	-2.11743	-2.39502
244995_at	1.572591	1.478638	-0.17798	1.517415	0.68457	-0.1665
244996_at	3.889648	3.588989	3.296387	3.95166	3.167969	3.272705
244997_at	2.314128	2.107544	2.249023	2.388509	1.808105	2.064209
244998_at	2.917643	2.882935	2.989746	2.94515	2.576172	2.944092
244999_at	-2.23991	-2.1156	-2.1665	-2.06657	-2.48853	-2.52808
245000_at	-0.50098	-0.02429	-1.23022	-0.18636	0.049805	-1.19336
245001_at	5.907878	6.021118	5.527832	5.445801	5.628418	5.407471
245002_at	2.320638	3.027954	0.848633	2.769368	2.626465	0.630127
245003_at	4.956706	5.19104	3.885254	5.178874	4.985352	3.74292
245004_at	4.765951	4.77063	4.179199	4.913249	4.683594	4.128662
245005_at	-2.44434	-2.34656	-3.31665	-2.14535	-2.55298	-3.14844
245006_at	5.947591	5.822876	5.168945	5.899577	5.710449	5.024658
245007_at	1.883138	2.139771	0.191162	1.865072	1.630859	-0.07715
245008_at	4.386393	3.801392	3.529785	4.24528	3.132324	3.364014
245009_at	5.314779	5.242798	4.785156	5.310384	4.926758	4.78833
245010_at	4.609049	4.918579	2.263672	4.544108	4.588867	2.158936
245011_at	3.894206	4.12561	1.354004	3.610514	3.776855	1.153076
245012_at	4.436523	4.399536	3.912598	4.348796	4.261719	3.856201
245013_at	6.245117	6.130981	5.741699	6.193197	6.002441	5.653564
245014_at	6.329102	6.184204	5.730957	6.249186	6.066895	5.725342
245015_at	4.481445	4.314087	3.450195	4.502441	4.102539	3.380127
245016_at	1.978841	2.377075	0.972168	2.416504	2.259277	0.813965
245017_at	4.226888	4.211548	3.262207	4.290202	4.096191	3.189697
245018_at	1.947591	2.363403	0.865723	2.259603	2.071289	0.73877
245019_at	4.147461	4.327759	3.11377	4.225098	4.148926	2.980713
245020_at	4.601237	4.741333	3.909668	4.70752	4.593262	3.807373
245021_at	4.173503	4.387329	3.341309	4.134603	4.043945	3.378174
245022_at	2.57194	2.683716	1.631348	2.641113	2.4375	1.661377
245023_at	4.226237	4.104614	3.609863	4.059733	4.04834	3.577881
245024_at	5.023763	5.204712	3.725586	5.085775	4.940918	3.662842
245025_at	2.982747	3.099731	1.530762	3.192546	2.867188	1.324951
245026_at	3.944987	3.871704	2.575195	4.144368	3.649414	2.296631
245027_at	0.482747	-0.48645	0.321533	0.205566	-0.72461	0.414307
