"Probe_Set_ID"	"Transcript_ID_Array_Design_.x"	"Variance_Residual.x"	"SumVariance.x"	"SampleVariance.x"	"RSquare.x"	"F_T3_co2.x"	"F_T3_dev.x"	"F_T3_co2_dev.x"	"PrF_T3_co2.x"	"PrF_T3_dev.x"	"PrF_T3_co2_dev.x"	"Lsmean_co2_A.x"	"Lsmean_co2_E.x"	"Lsmean_dev_expanding.x"	"Lsmean_dev_fullexpand.x"	"Lsmean_dev_primordia.x"	"LinearLsmean_A_expanding.x"	"linearLsmean_A_fullexpand.x"	"linearLsmean_A_primordia.x"	"linearLsmean_E_expanding.x"	"linearLsmean_E_fullexpand.x"	"linearLsmean_E_primordia.x"	"percentage_A_PvX.x"	"percentage_A_PvE.x"	"percentage_A_EvX.x"	"percentage_E_PvX.x"	"percentage_E_PvE.x"	"percentage_E_EvX.x"	"neglog10pvalue_A_expanding_E_expanding.x"	"neglog10pvalue_A_fullexpand_E_fullexpand.x"	"neglog10pvalue_A_primordia_E_primordia.x"	"Cluster.x"	"Transcript_ID_Array_Design_.y"	"Variance_Residual.y"	"SumVariance.y"	"SampleVariance.y"	"RSquare.y"	"F_T3_co2.y"	"F_T3_dev.y"	"F_T3_co2_dev.y"	"PrF_T3_co2.y"	"PrF_T3_dev.y"	"PrF_T3_co2_dev.y"	"Lsmean_co2_A.y"	"Lsmean_co2_E.y"	"Lsmean_dev_expanding.y"	"Lsmean_dev_fullexpand.y"	"Lsmean_dev_primordia.y"	"LinearLsmean_A_expanding.y"	"linearLsmean_A_fullexpand.y"	"linearLsmean_A_primordia.y"	"linearLsmean_E_expanding.y"	"linearLsmean_E_fullexpand.y"	"linearLsmean_E_primordia.y"	"percentage_A_PvX.y"	"percentage_A_PvE.y"	"percentage_A_EvX.y"	"percentage_E_PvX.y"	"percentage_E_PvE.y"	"percentage_E_EvX.y"	"neglog10pvalue_A_expanding_E_expanding.y"	"neglog10pvalue_A_fullexpand_E_fullexpand.y"	"neglog10pvalue_A_primordia_E_primordia.y"	"Cluster.y"	"percentchangeco2_fullexpand.x"	"percentchangeco2_fullexpand.y"
"245035_at"	"At2g26400"	0.511314	0.511314	2.918936	0.866536	9.12516	47.0227	0.52212	0.0081	9.999e-05	0.603	-0.70043	0.229112	-1.4856	-1.04132	1.819946	0.234853	0.333926	2.971701	0.542983	0.706989	4.194806	-92.097	-88.7631	42.18507	-87.0558	-83.1461	30.20456	1.260498	1.317966	0.468558	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	111.720261375275	NA
"245042_at"	"At2g26540"	0.031236	0.031236	0.116627	0.795937	7.84011	24.5598	2.8053	0.0128	9.999e-05	0.0903	0.63996	0.427002	0.89445	0.226746	0.479248	2.033215	1.342505	1.386253	1.699531	1.019996	1.401824	46.66982	-3.1559	-33.9714	21.23716	-27.2379	-39.9837	1.036078	2.227624	0.046232	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-24.0229272889114	NA
"245052_at"	"At2g26440"	0.153187	0.153187	0.487208	0.760444	18.1634	13.0912	3.23942	6e-04	4e-04	0.0659	-0.99934	-0.28152	-0.48836	-0.23016	-1.20276	0.540722	0.567904	0.407627	0.939731	1.279834	0.463024	32.65141	39.31977	5.026981	102.955	176.4075	36.19153	1.62146	3.20082	0.287365	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.360976503071	NA
"245063_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At2g39795"	0.03579	0.03579	0.781432	0.965104	1.16658	209.014	10.9668	0.2961	9.999e-05	0.001	-0.3465	-0.25857	-0.75741	-0.97406	0.823853	0.670138	0.416024	1.744995	0.522195	0.622929	1.79562	-61.5966	-76.159	-37.9196	-70.9184	-65.3084	19.29057	1.478301	3.307603	0.118197	7	NA	49.7339095821395
"245084_at"	"At2g23290"	0.050649	0.050649	0.074826	0.48428	12.2989	0.8135	0.50308	0.0029	0.4608	0.6139	-1.92034	-1.5807	-1.75627	-1.81927	-1.67603	0.261304	0.243177	0.290194	0.335334	0.33019	0.337477	-9.9555	-16.2019	-6.93697	-0.63498	-2.15907	-1.53383	1.168429	1.867222	0.721078	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.7817556759068	NA
"245109_at"	"At2g41520"	0.030037	0.030037	0.073584	0.688992	7.81814	11.9962	1.62207	0.0129	7e-04	0.2283	-1.16291	-1.37145	-1.22957	-1.49615	-1.07581	0.452848	0.404365	0.486479	0.40158	0.310779	0.462633	-6.9131	-16.8793	-10.7063	-13.1968	-32.8239	-22.611	0.622831	2.161351	0.250005	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-23.143941735808	NA
"245112_at"	"At2g41540"	0.041029	0.041029	1.652668	0.981085	7.52652	410.866	0.2384	0.0144	9.999e-05	0.7906	-0.31002	-0.54915	-0.49683	-1.84662	1.054688	0.769018	0.309652	2.20402	0.653043	0.249662	1.957806	-65.1084	-85.9506	-59.7341	-66.6441	-87.2479	-61.7694	0.761731	1.342074	0.601731	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-19.3733610633873	NA
"245130_at"	"At2g45340"	0.067892	0.067892	0.461303	0.887868	6.71165	53.4277	6.42936	0.0197	9.999e-05	0.0089	0.311537	0.02105	0.069743	-0.45453	0.883667	1.147817	0.953966	1.745585	0.959656	0.558233	1.950201	-34.2446	-45.3498	-16.8887	-50.7919	-71.3756	-41.8299	0.615615	3.164739	0.399833	7	"At2g45340"	0.067892	0.067892	0.461303	0.887868	6.71165	53.4277	6.42936	0.0197	9.999e-05	0.0089	0.311537	0.02105	0.069743	-0.45453	0.883667	1.147817	0.953966	1.745585	0.959656	0.558233	1.950201	-34.2446	-45.3498	-16.8887	-50.7919	-71.3756	-41.8299	0.615615	3.164739	0.399833	7	-41.4829249679758	-41.4829249679758
"245156_at"	"At5g12480"	0.030017	0.030017	0.066268	0.654888	7.05166	8.74153	3.23678	0.0173	0.0027	0.066	-0.92509	-0.72711	-1.01717	-0.6286	-0.83252	0.442344	0.575644	0.573649	0.551878	0.72676	0.549701	-22.8895	0.34787	30.13509	0.395875	32.20988	31.68856	1.41566	1.842332	0.205951	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.2516416396245	NA
"245181_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At5g12420"	0.077807	0.077807	0.741323	0.920033	0.75601	84.906	6.6349	0.3974	9.999e-05	0.008	-1.71163	-1.60726	-2.25659	-2.13995	-0.58179	0.213378	0.179445	0.743302	0.205232	0.286874	0.600568	-71.2933	-75.8585	-15.9028	-65.827	-52.2329	39.7802	0.092378	2.465615	0.858831	7	NA	59.8673688316755
