Probe_Set_ID	percentchangeco2_fullexpand.x
264931_at	-65.53373783
259606_at	-62.53755973
254118_at	-59.66627758
253736_at	-53.85002065
250958_at	-53.03057219
256304_at	-51.96972252
250661_at	-51.82319954
258944_at	-51.25719806
251069_at	-51.01795735
250408_at	-49.70698208
256860_at	-49.46433895
245196_at	-49.3399826
257151_at	-48.14303917
253579_at	-47.4538483
255579_at	-46.44867935
245657_at	-46.03927799
255822_at	-45.90199888
265312_at	-45.70462793
267256_s_at	-45.67260802
248921_at	-45.67254811
254633_at	-45.63594661
256302_at	-45.3868217
256781_at	-45.05818045
266279_at	-44.3889944
265116_at	-43.88797561
253754_at	-43.34404999
252047_at	-43.23853218
266165_at	-43.19050106
253585_at	-42.83369087
246919_at	-42.56217836
263840_at	-42.41618752
246783_at	-42.34813554
251299_at	-42.28488624
262830_at	-42.26012511
262847_at	-41.96593911
265277_at	-41.53234073
258402_at	-41.51267992
245130_at	-41.48292497
253971_at	-41.24478324
259839_at	-41.20505492
251395_at	-41.16523723
248975_at	-41.15548713
249969_at	-40.97576749
249774_at	-40.75560121
261975_at	-40.65534108
245789_at	-40.59487958
254125_at	-40.48942981
267035_at	-40.4740591
249958_at	-40.38330306
265411_at	-40.34322038
247085_at	-40.0750441
262464_at	-40.03488443
245792_at	-39.88707098
261801_at	-39.87692055
251113_at	-39.85639499
262109_at	-39.67287517
254609_at	-39.59176949
258326_at	-39.55062553
259166_at	-39.04702913
261653_at	-38.97999978
260867_at	-38.96447727
266460_at	-38.8715208
264909_at	-38.67449153
258742_at	-38.44618034
259773_at	-38.35221998
251791_at	-38.27874706
245635_at	-38.20571203
254746_at	-38.02794246
267265_at	-37.92266552
250933_at	-37.9122163
256420_at	-37.68595041
245593_at	-37.50636545
248839_at	-37.44840293
261451_at	-37.44828161
263497_at	-37.42714406
261266_at	-37.21504193
261069_at	-37.06083503
251141_at	-37.03378084
256914_at	-36.97025244
248246_at	-36.84229916
260494_at	-36.78852395
263629_at	-36.77789563
248085_at	-36.68122671
253191_at	-36.62782068
262796_at	-36.49929841
248691_at	-36.48770555
263876_at	-36.44542896
247367_at	-36.44517172
251227_at	-36.40233385
247162_at	-36.35926759
259308_at	-36.14338779
246899_at	-36.05688084
265377_at	-36.03533237
245336_at	-35.81847815
263106_at	-35.63352761
258857_at	-35.5138906
263115_at	-35.46986484
255779_at	-35.34975489
248681_at	-35.10859707
245859_at	-35.08648164
249755_at	-34.62356611
248696_at	-34.42413234
258183_at	-34.41348916
251174_at	-34.06807233
245748_at	-34.03467177
257137_at	-34.03464398
247102_at	-34.0122172
259511_at	-33.98979954
259707_at	-33.9452663
258075_at	-33.87279701
257017_at	-33.85561279
265376_at	-33.78862609
264424_at	-33.78861168
257801_at	-33.76619335
262891_at	-33.73273681
263495_at	-33.66524701
263765_at	-33.18116212
256400_at	-33.14662135
267376_at	-33.13544664
248382_at	-32.82949636
259431_at	-32.81793569
252548_at	-32.74959177
255193_at	-32.52144514
260363_at	-32.37317182
252101_at	-32.35604489
267472_at	-32.29285349
247965_at	-32.22385081
257547_at	-32.12091634
261765_at	-32.09832249
264179_at	-31.93701647
260371_at	-31.92527666
251297_at	-31.91354126
266588_at	-31.90225319
246428_at	-31.83313803
256772_at	-31.83308308
252036_at	-31.82145039
263841_at	-31.70602568
264324_at	-31.66589736
246199_at	-31.64826344
258552_at	-31.60201102
261605_at	-31.57847649
251741_at	-31.5325095
255760_at	-31.40484164
266533_s_at	-31.27714314
264371_at	-31.04416937
261016_at	-31.02076439
250565_at	-30.93922501
252106_at	-30.85706415
262797_at	-30.83375082
266899_at	-30.78695798
245947_at	-30.72817623
257746_at	-30.66973603
260645_at	-30.6576517
251230_at	-30.5875467
255943_at	-30.5751876
254676_at	-30.54077361
255117_s_at	-30.52861597
256585_at	-30.49353161
254020_at	-30.38757193
246288_at	-30.38756943
266078_at	-30.38755368
261945_at	-30.31716564
253480_at	-30.30478676
253397_at	-30.21054665
250892_at	-30.19880405
259287_at	-30.17533637
257974_at	-30.08058675
255660_at	-30.06898003
254807_at	-29.890689
246778_at	-29.68919004
247118_at	-29.68903678
253197_at	-29.48651742
250470_at	-29.46260909
257748_at	-29.34322465
248065_at	-29.25945297
