Probe_Set_ID	value
256836_at	1
258837_at	1
263665_at	1
260855_at	1
249948_at	1
261652_at	1
258090_at	1
253491_at	1
249217_at	1
253728_at	1
255421_at	1
258500_at	1
264142_at	1
246291_at	1
257522_at	1
261860_at	1
260095_at	1
250845_at	1
259942_at	1
259406_at	1
262667_at	1
260878_at	1
252027_at	1
256192_at	1
248868_at	1
257895_at	1
250854_at	1
251860_at	1
252683_at	1
264655_at	1
265855_at	1
246529_at	1
246765_at	1
254854_at	1
264169_at	1
264179_at	1
256575_at	1
266582_at	1
247034_at	1
261220_at	1
262119_s_at	1
257708_at	1
262419_at	1
250226_at	1
265713_at	1
259006_at	1
253248_at	1
255561_at	1
246513_at	1
250384_at	1
251858_at	1
265356_at	1
261824_at	1
264592_at	1
257073_at	1
262841_at	1
248309_at	1
247188_at	1
258859_at	1
252028_at	1
251673_at	1
262775_at	1
252234_at	1
265330_at	1
263053_at	1
250380_at	1
258966_at	1
250818_at	1
258201_at	1
253773_s_at	1
264317_at	1
267213_at	1
250923_at	1
257700_at	1
249176_at	1
258566_at	1
252979_at	1
255714_at	1
260967_at	1
265679_at	1
248945_at	1
254964_at	1
256021_at	1
265325_at	1
257828_at	1
250181_at	1
247295_at	1
258858_at	1
262853_at	1
253727_at	1
246505_at	1
245739_at	1
248100_at	1
261531_at	1
254980_at	1
265103_at	1
263636_at	1
256916_at	1
258538_at	1
263852_at	1
266617_at	1
252089_at	1
262913_at	1
259434_at	1
251445_at	1
255706_at	1
259595_at	1
254643_at	1
259945_at	1
267185_at	1
245899_at	1
247944_at	1
264581_at	1
251244_at	1
253189_at	1
246119_at	1
259019_at	1
253702_at	1
250111_at	1
263405_s_at	1
251422_at	1
249690_at	1
248283_at	1
259591_at	1
251936_at	1
263480_at	1
256838_at	1
248145_at	1
246265_at	1
256752_at	1
258373_at	1
261605_at	1
262109_at	1
260943_at	1
259762_at	1
254233_at	1
262609_at	1
263183_at	1
256091_at	1
251769_at	1
245266_at	1
248330_at	1
251773_at	1
245682_at	1
267219_at	1
262558_at	1
251151_at	1
253438_at	1
267246_at	1
245686_at	1
251796_at	1
252029_s_at	1
248903_at	1
263495_at	1
258486_at	1
254331_s_at	1
249060_at	1
245998_at	1
260446_at	1
245316_at	1
248608_at	1
253647_at	1
263749_at	1
253372_at	1
258519_at	1
255742_at	1
262772_at	1
248259_at	1
245891_at	1
250032_at	1
252193_at	1
246124_at	1
265384_at	1
259507_at	1
246976_s_at	1
253334_at	1
251730_at	1
261323_at	1
263150_at	1
250470_at	1
261165_at	1
264615_at	1
256489_at	1
256013_at	1
264061_at	1
261857_at	1
245355_at	1
266099_at	1
264355_at	1
255243_at	1
254615_at	1
265953_at	1
248710_at	1
254259_s_at	1
261530_at	1
259737_at	1
256341_at	1
249163_at	1
259227_at	1
258108_at	1
265843_at	1
