Probe_Set_ID	value
AFFX-r2-At-GAPDH-3_s_at	1
249638_at	1
AFFX-Athal-GAPDH_5_s_at	1
245686_at	1
262797_at	1
AFFX-Athal-GAPDH_M_s_at	1
250203_at	1
259516_at	1
263755_at	1
256772_at	1
250408_at	1
245657_at	1
267064_at	1
258588_s_at	1
247864_s_at	1
260494_at	1
267515_at	1
250958_at	1
265277_at	1
254118_at	1
261456_at	1
248200_at	1
259431_at	1
267261_at	1
257735_at	1
260356_at	1
256838_at	1
256627_at	1
251503_at	1
257651_at	1
251306_at	1
266460_at	1
253691_at	1
247853_at	1
256836_at	1
258979_at	1
258944_at	1
259474_at	1
265162_at	1
250510_at	1
262847_at	1
258256_at	1
251297_at	1
266865_at	1
246288_at	1
261451_at	1
256860_at	1
264424_at	1
254561_at	1
261792_at	1
250339_at	1
259166_at	1
256089_at	1
266165_at	1
265679_at	1
266206_at	1
262370_at	1
AFFX-r2-At-GAPDH-5_s_at	1
247389_at	1
255629_at	1
261412_at	1
262686_at	1
251775_s_at	1
263787_at	1
251741_at	1
260371_at	1
245748_at	1
246576_at	1
246035_at	1
251227_at	1
255579_at	1
251060_at	1
251559_at	1
255760_at	1
260271_at	1
258291_at	1
245201_at	1
259818_at	1
257974_at	1
256129_at	1
253300_at	1
253624_at	1
252291_s_at	1
265083_at	1
249049_at	1
264930_at	1
252114_at	1
262944_at	1
252414_at	1
264655_at	1
248718_at	1
251457_s_at	1
263583_at	1
262289_at	1
256769_at	1
248679_at	1
264931_at	1
246234_at	1
262796_at	1
253331_at	1
262225_at	1
247188_at	1
253610_at	1
264787_at	1
248126_at	1
248381_at	1
261605_at	1
257895_at	1
267605_at	1
251299_at	1
248975_at	1
265187_at	1
258213_at	1
255660_at	1
248415_at	1
262355_at	1
246744_at	1
256960_at	1
248138_at	1
263014_at	1
248162_at	1
262231_at	1
245718_at	1
251790_at	1
265432_at	1
250094_at	1
258156_at	1
248461_s_at	1
261951_at	1
265376_at	1
261413_at	1
262109_at	1
246290_at	1
259707_at	1
247162_at	1
261165_at	1
245854_at	1
250916_at	1
252036_at	1
250233_at	1
249625_at	1
260644_at	1
264373_at	1
264371_at	1
258857_at	1
256453_at	1
267084_at	1
264247_at	1
264609_at	1
258002_at	1
245789_at	1
267492_at	1
265392_at	1
247013_at	1
266099_at	1
245956_s_at	1
251122_at	1
252269_at	1
254211_at	1
254448_at	1
253950_at	1
246987_at	1
250317_at	1
259375_at	1
249052_at	1
262133_at	1
252230_at	1
262200_at	1
256598_at	1
249373_at	1
251141_at	1
251760_at	1
264592_at	1
260800_at	1
258949_at	1
245947_at	1
264653_at	1
247826_at	1
265411_at	1
260847_s_at	1
246783_at	1
252175_at	1
250777_at	1
245052_at	1
252983_at	1
250397_at	1
257137_at	1
259928_at	1
248839_at	1
266334_at	1
261177_at	1
247060_at	1
245130_at	1
254083_at	1
264664_at	1
256304_at	1
266279_at	1
254262_at	1
259287_at	1
256302_at	1
250879_at	1
258915_at	1
260645_at	1
260363_at	1
249969_at	1
247132_at	1
259685_at	1
259364_at	1
267363_at	1
246919_at	1
248146_at	1
246483_at	1
261801_at	1
