Probe_Set_ID	value
261410_at	1
264484_at	1
260800_at	1
261438_at	1
259272_at	1
264859_at	1
250710_at	1
249266_at	1
262935_at	1
258894_at	1
253046_at	1
255617_at	1
249325_at	1
252950_at	1
246463_at	1
267083_at	1
264385_at	1
265201_at	1
246968_at	1
258400_at	1
267246_at	1
254304_at	1
254432_at	1
248551_at	1
256891_at	1
261806_at	1
249918_at	1
252983_at	1
259375_at	1
255488_at	1
257198_at	1
257654_at	1
254817_at	1
267230_at	1
266474_at	1
247351_at	1
247487_at	1
248656_at	1
250846_at	1
257216_at	1
245329_at	1
257832_at	1
256770_at	1
262133_at	1
266400_at	1
249963_at	1
257596_at	1
256650_at	1
258372_at	1
266414_at	1
246861_at	1
261610_at	1
252671_at	1
258263_at	1
251169_at	1
256017_at	1
263096_at	1
257006_at	1
259700_at	1
260490_at	1
245878_at	1
264221_s_at	1
259681_at	1
258212_at	1
254119_at	1
262089_s_at	1
250833_at	1
245977_at	1
257017_at	1
249299_at	1
254239_at	1
259984_at	1
248034_at	1
246824_at	1
251170_at	1
264696_at	1
250366_at	1
245199_at	1
263053_at	1
253200_at	1
259591_at	1
253873_at	1
246863_at	1
245501_at	1
264624_at	1
247867_at	1
255026_at	1
255742_at	1
253971_at	1
252053_at	1
267410_at	1
AFFX-LysX-M_at	1
259842_at	1
252971_at	1
258499_at	1
247315_at	1
249375_at	1
247450_at	1
257749_at	1
250317_at	1
246511_at	1
251400_at	1
267092_at	1
257965_at	1
251060_at	1
262533_at	1
249792_at	1
252170_at	1
264700_at	1
251837_s_at	1
249964_at	1
250439_at	1
255524_at	1
248327_at	1
266856_at	1
260008_at	1
260363_at	1
255808_at	1
259839_at	1
258500_at	1
260959_at	1
252208_at	1
248232_at	1
247884_at	1
266927_at	1
259528_at	1
252234_at	1
251133_at	1
256237_at	1
259736_at	1
259430_at	1
255380_at	1
263457_at	1
248686_at	1
257641_s_at	1
253414_at	1
260855_at	1
260143_at	1
257651_at	1
262772_at	1
255662_at	1
252298_at	1
264611_at	1
247965_at	1
253835_at	1
260356_at	1
262610_at	1
263613_at	1
AFFX-DapX-M_at	1
252293_at	1
247188_at	1
257621_at	1
256755_at	1
261925_at	1
259983_at	1
262200_at	1
260751_at	1
256277_at	1
266037_at	1
254814_at	1
248121_at	1
252692_at	1
