Probe_Set_ID	Value
261438_at	1
258894_at	1
267246_at	1
248551_at	1
249918_at	1
257654_at	1
267230_at	1
266474_at	1
245329_at	1
256770_at	1
266400_at	1
256650_at	1
264221_s_at	1
251170_at	1
264696_at	1
245199_at	1
263053_at	1
259591_at	1
245501_at	1
255742_at	1
252053_at	1
258499_at	1
247315_at	1
257749_at	1
246511_at	1
251400_at	1
251060_at	1
252170_at	1
248327_at	1
255808_at	1
258500_at	1
247884_at	1
252234_at	1
253414_at	1
260855_at	1
262772_at	1
252298_at	1
247188_at	1
257621_at	1
256755_at	1
