"Probe_Set_ID"	"Transcript_ID_Array_Design_.x"	"Variance_Residual.x"	"SumVariance.x"	"SampleVariance.x"	"RSquare.x"	"F_T3_co2.x"	"F_T3_dev.x"	"F_T3_co2_dev.x"	"PrF_T3_co2.x"	"PrF_T3_dev.x"	"PrF_T3_co2_dev.x"	"Lsmean_co2_A.x"	"Lsmean_co2_E.x"	"Lsmean_dev_expanding.x"	"Lsmean_dev_fullexpand.x"	"Lsmean_dev_primordia.x"	"LinearLsmean_A_expanding.x"	"linearLsmean_A_fullexpand.x"	"linearLsmean_A_primordia.x"	"linearLsmean_E_expanding.x"	"linearLsmean_E_fullexpand.x"	"linearLsmean_E_primordia.x"	"percentage_A_PvX.x"	"percentage_A_PvE.x"	"percentage_A_EvX.x"	"percentage_E_PvX.x"	"percentage_E_PvE.x"	"percentage_E_EvX.x"	"neglog10pvalue_A_expanding_E_expanding.x"	"neglog10pvalue_A_fullexpand_E_fullexpand.x"	"neglog10pvalue_A_primordia_E_primordia.x"	"Cluster.x"	"Transcript_ID_Array_Design_.y"	"Variance_Residual.y"	"SumVariance.y"	"SampleVariance.y"	"RSquare.y"	"F_T3_co2.y"	"F_T3_dev.y"	"F_T3_co2_dev.y"	"PrF_T3_co2.y"	"PrF_T3_dev.y"	"PrF_T3_co2_dev.y"	"Lsmean_co2_A.y"	"Lsmean_co2_E.y"	"Lsmean_dev_expanding.y"	"Lsmean_dev_fullexpand.y"	"Lsmean_dev_primordia.y"	"LinearLsmean_A_expanding.y"	"linearLsmean_A_fullexpand.y"	"linearLsmean_A_primordia.y"	"linearLsmean_E_expanding.y"	"linearLsmean_E_fullexpand.y"	"linearLsmean_E_primordia.y"	"percentage_A_PvX.y"	"percentage_A_PvE.y"	"percentage_A_EvX.y"	"percentage_E_PvX.y"	"percentage_E_PvE.y"	"percentage_E_EvX.y"	"neglog10pvalue_A_expanding_E_expanding.y"	"neglog10pvalue_A_fullexpand_E_fullexpand.y"	"neglog10pvalue_A_primordia_E_primordia.y"	"Cluster.y"	"percentchangeco2_primordia.x"	"percentchangeco2_primordia.y"
"245199_at"	"At1g67730"	0.010703	0.010703	0.261607	0.96883	15.4869	240.525	0.70384	0.0012	9.999e-05	0.5094	2.61967	2.444472	2.496175	1.983459	3.116577	6.114799	4.100407	9.259524	5.205533	3.813596	8.124151	-33.9621	-55.7169	-32.9429	-35.9252	-53.0585	-26.7396	1.846339	0.764647	1.695744	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.261677814108	NA
"245210_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At5g12350"	0.021251	0.021251	0.028632	0.43449	0.40818	2.29998	3.64909	0.5319	0.1324	0.0495	-1.39886	-1.35878	-1.36076	-1.31097	-1.46472	0.382521	0.426359	0.334408	0.396359	0.381012	0.392531	14.38755	27.49671	11.4603	0.97513	-2.93453	-3.87191	0.172368	0.869371	1.404333	2	NA	17.3808640941604
"245235_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At4g25550"	0.00807	0.00807	0.100947	0.93909	0.21416	117.778	5.22143	0.6498	9.999e-05	0.018	1.280965	1.298855	1.109782	1.065491	1.694458	2.260682	2.085193	3.043976	2.060231	2.100599	3.441313	-25.7326	-31.4977	-7.76265	-40.1324	-38.9594	1.959415	1.062811	0.060822	1.87927	7	NA	13.0532238099118
"245260_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At4g16360"	0.004324	0.004324	0.040894	0.919447	1.31575	78.7788	12.1276	0.2682	9.999e-05	6e-04	0.564602	0.532145	0.609782	0.718323	0.317017	1.585969	1.558345	1.308966	1.468353	1.73704	1.18559	21.16197	19.0516	-1.74178	23.85001	46.51273	18.29852	1.260158	2.407598	2.13676	4	NA	-9.42545490104404
"245329_at"	"At4g14365"	0.487482	0.487482	6.314247	0.941178	16.145	119.541	0.38371	0.001	9.999e-05	0.6874	-0.30731	0.899957	1.484131	2.235901	-2.83105	1.768579	3.499748	0.085273	4.42498	6.3403	0.231591	1974.01	4004.148	97.88469	1810.689	2637.716	43.28425	1.470746	0.992717	1.998926	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	171.587724133078	NA
"245383_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At4g17810"	0.091673	0.091673	0.228894	0.694853	3.10489	6.81987	10.0476	0.0971	0.0072	0.0015	-0.78522	-1.01481	-0.63908	-0.83978	-1.22119	0.743261	0.735981	0.357162	0.554746	0.424166	0.515116	108.1019	106.0636	-0.97944	7.693412	-17.6563	-23.5388	0.97013	2.724058	1.597541	4	NA	44.2247495534239
"245399_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At4g17340"	0.026852	0.026852	3.074838	0.993346	0.33407	1185.92	8.31957	0.5713	9.999e-05	0.0033	0.90488	0.945638	1.118245	2.818176	-1.16064	2.065583	6.325831	0.502376	2.281434	7.863099	0.398284	311.1626	1159.182	206.2492	472.8157	1874.243	244.656	0.523242	1.809711	1.972962	4	NA	-20.719938850582
"245501_at"	"At4g15620"	0.028908	0.028908	0.797436	0.97238	9.88802	275.111	1.97877	0.0063	9.999e-05	0.1706	0.706448	0.476373	0.137451	-0.1131	1.749878	1.243821	0.934153	3.739465	0.972736	0.915144	3.024977	-66.738	-75.0191	-24.8966	-67.8432	-69.7471	-5.92065	1.673645	0.092451	1.664647	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-19.1066903955512	NA
"245633_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At1g25280"	0.005901	0.005901	0.019142	0.765116	0.46444	19.7317	6.21521	0.5053	9.999e-05	0.0101	0.403632	0.426161	0.534424	0.431213	0.279053	1.399296	1.300026	1.272491	1.499152	1.398507	1.157048	9.965045	2.163793	-7.0943	29.56697	20.86847	-6.71351	0.878058	1.153079	1.648411	4	NA	-9.07220561874308
"245642_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At1g25275"	0.00586	0.00586	0.021307	0.790476	3.98958	13.4183	14.7105	0.0631	4e-04	2e-04	3.782104	3.8479	3.803467	3.919495	3.722046	13.66545	13.75477	13.85171	14.26564	16.64629	12.57163	-1.34466	-0.69984	0.653616	13.47488	32.41155	16.68798	0.473813	3.957937	1.699867	6	NA	-9.24131388832137
"245760_s_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At1g66920"	0.094741	0.094741	2.85039	0.974676	0.08392	301.164	6.60701	0.7758	9.999e-05	0.0081	-1.38783	-1.4262	-0.59513	-0.03473	-3.59119	0.599994	0.879838	0.10571	0.730375	1.083151	0.065129	467.5864	732.3152	46.64115	1021.424	1563.078	48.30056	0.559693	0.727787	2.263012	4	NA	-38.3889887427869
"245773_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At1g30290"	0.012125	0.012125	0.137098	0.932615	2.05e-06	103.841	6.77919	0.9989	9.999e-05	0.0074	-0.95159	-0.95166	-1.04744	-1.29327	-0.51416	0.524378	0.404295	0.652052	0.446407	0.411787	0.751904	-19.5803	-37.9966	-22.9001	-40.6298	-45.2341	-7.75517	1.698786	0.131868	1.748958	7	NA	15.3135026040868
"245878_at"	"At1g26190"	0.031441	0.031441	0.083905	0.714496	5.30112	15.9329	1.19069	0.0351	2e-04	0.3296	-1.70346	-1.52778	-1.60083	-1.87299	-1.37305	0.317765	0.265097	0.343642	0.342057	0.281154	0.433745	-7.53047	-22.8568	-16.5745	-21.1387	-35.18	-17.8051	0.324673	0.293882	1.783722	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.220019671635	NA
"245977_at"	"At5g13110"	0.035464	0.035464	0.062489	0.567603	10.559	4.631	0.33691	0.005	0.0259	0.7189	0.396525	0.659858	0.518962	0.389709	0.675903	1.327032	1.216379	1.413017	1.547265	1.411106	1.806287	-6.08523	-13.9162	-8.33836	-14.34	-21.8781	-8.79998	0.772206	0.8955	1.766859	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.8319369122948	NA
"245988_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At5g20610"	0.015629	0.015629	0.082067	0.8549	0.3342	42.7483	4.09002	0.5712	9.999e-05	0.0368	-0.54211	-0.51101	-0.52238	-0.23969	-0.81763	0.71529	0.868152	0.521609	0.677663	0.826227	0.617157	37.1315	66.43744	21.37068	9.803954	33.87625	21.92297	0.340921	0.36548	1.842386	4	NA	18.3179354650706
