Probe_Set_ID	percentchangeco2_primordia.x
253971_at	-39.02130665
257017_at	-36.45033614
262935_at	-32.04654538
259839_at	-31.56153666
251169_at	-29.82580023
250710_at	-29.65931027
255617_at	-29.28938133
252950_at	-28.26498328
255026_at	-28.19781847
246968_at	-27.96036159
247965_at	-27.66754669
248232_at	-27.42215014
266400_at	-27.15160974
262533_at	-26.78055411
258400_at	-26.59517732
248121_at	-26.3154667
254817_at	-25.35496518
254304_at	-24.77076501
248656_at	-24.59280133
267410_at	-23.73244392
253835_at	-22.95469927
252971_at	-21.77226771
265201_at	-21.40059556
255662_at	-21.28116272
259736_at	-20.8400929
256237_at	-20.51796386
259984_at	-20.11312378
260363_at	-19.72033233
255488_at	-19.48896949
261610_at	-19.18855306
245501_at	-19.1066904
259700_at	-19.07937285
257596_at	-19.06546176
252983_at	-19.02438517
255808_at	-18.76401617
258263_at	-18.57121662
252692_at	-18.40565792
264484_at	-18.12894778
250366_at	-17.89305755
257832_at	-17.8930369
254119_at	-17.86527936
262089_s_at	-17.86498421
256650_at	-17.55925401
259375_at	-17.4472495
247884_at	-17.0832358
AFFX-LysX-M_at	-16.97106582
264700_at	-16.85861228
249299_at	-16.50591844
249375_at	-16.27960039
256755_at	-15.93889239
259430_at	-15.8676365
257198_at	-15.38218819
256770_at	-15.12410758
263613_at	-15.05203377
262200_at	-14.7353513
AFFX-DapX-M_at	-14.59096427
254239_at	-14.5764989
259528_at	-14.2724396
264611_at	-14.17076421
259983_at	-13.8214537
267092_at	-13.77769958
247450_at	-13.73393723
257965_at	-13.11865845
266414_at	-12.7797252
250317_at	-12.4100188
245199_at	-12.26167781
248034_at	-11.97909213
257651_at	-11.81477884
249964_at	-11.80013205
261925_at	-11.80003211
260800_at	-11.54610293
251133_at	-11.18606972
260490_at	-11.06573956
246511_at	-10.85486367
253200_at	-10.64341424
256277_at	-10.61311898
255380_at	-10.61310555
266927_at	-10.49206028
266856_at	-10.21893913
260008_at	-9.960303086
260855_at	-9.823218704
262610_at	-9.639614845
257749_at	-8.501087135
250439_at	-8.377170271
247188_at	-5.702984938
260356_at	7.384317106
258500_at	8.700713285
257621_at	9.308867506
246824_at	10.14507158
264221_s_at	10.55595251
258499_at	10.61215712
251170_at	12.19505032
252208_at	12.29061356
251837_s_at	13.74404805
260751_at	14.16833919
263053_at	14.59465993
254814_at	14.61349238
258212_at	14.8467706
252298_at	15.82285943
246863_at	16.21499752
264696_at	16.31351024
250846_at	16.47093025
249792_at	17.28194246
266474_at	17.45054699
259591_at	17.77912676
266037_at	18.33859359
247315_at	18.47818991
264385_at	20.3377908
252671_at	21.03202466
257006_at	21.79294296
258372_at	22.06074256
250833_at	22.22582785
249963_at	22.78537001
257654_at	25.19858732
245878_at	26.22001967
255742_at	26.81880635
259842_at	26.92659671
260959_at	27.03391439
262772_at	27.18520139
245977_at	27.83193691
263457_at	30.45392915
252293_at	31.40714381
247867_at	33.50293153
251060_at	34.48909615
246463_at	34.53492
260143_at	36.09186584
255524_at	36.76147824
261806_at	37.48064779
253873_at	40.27712836
252234_at	40.60914677
257216_at	41.34964788
257641_s_at	41.73281205
258894_at	43.71322804
261438_at	46.71119637
264624_at	47.85768106
253414_at	50.48295828
263096_at	52.09583018
247351_at	52.58603884
246861_at	56.83950756
249266_at	56.87961909
259681_at	59.5031117
251400_at	60.83162448
256891_at	60.93979967
267230_at	63.40882105
264859_at	65.07716888
249325_at	68.83508654
248551_at	76.72839054
249918_at	77.11771786
247487_at	81.19504396
252170_at	81.79482881
248686_at	84.47559126
254432_at	85.71131504
252053_at	86.83198555
267246_at	90.37149893
248327_at	95.18613098
262133_at	103.911213
267083_at	112.2755086
256017_at	127.7383709
245329_at	171.5877241
253046_at	172.9464679
259272_at	201.9848253
261410_at	209.0691825
245210_at	17.38086409
245235_at	13.05322381
245260_at	-9.425454901
245383_at	44.22474955
245399_at	-20.71993885
245633_at	-9.072205619
245642_at	-9.241313888
245760_s_at	-38.38898874
245773_at	15.3135026
245988_at	18.31793547
246155_at	27.12015077
246225_at	10.81805589
246303_at	30.63106626
246376_at	12.80477464
246453_at	-13.01566987
246791_at	30.52074442
246818_at	11.58939998
246908_at	-15.06652842
247054_at	-22.75895482
247140_at	-18.98352503
247178_at	18.39846876
247252_at	-29.63547797
247306_at	-19.82916663
247345_at	-30.16960339
247436_at	14.24556934
247522_at	-27.56998779
247597_at	-18.59891023
247601_at	-25.29112097
247637_at	13.59017174
247761_at	-8.284092345
247794_at	-23.51289461
248025_at	-11.90464271
248296_at	28.87455032
248474_at	12.25252169
248573_at	-14.19980092
248682_at	-9.517353859
248800_at	10.10773049
248972_at	-13.26549941
249167_at	-26.10899893
249306_at	-24.05496468
249321_at	-26.75565089
249356_at	16.03816227
249720_at	-16.36426005
249833_at	21.97872824
249860_at	-17.87917512
249869_at	18.09840212
249923_at	46.36410898
249989_at	-26.91699318
250050_at	22.99333931
250147_at	26.2838063
250362_at	23.95533377
250554_at	19.50573927
250577_at	-15.85357642
250590_at	-17.08301618
250617_at	15.70494582
250621_at	-25.31671012
250690_at	25.72949447
250764_at	-29.43229821
250844_at	-20.46416635
251020_at	-19.16139918
251225_at	-22.65450952
251326_at	30.41077245
251538_at	29.574206
251719_at	16.49068652
251808_at	14.09096719
251823_at	17.71920569
251845_at	9.698520275
251879_at	-17.67052249
251948_at	16.43163172
252322_at	-23.69465768
252374_at	-21.85212571
252376_at	16.82667064
252398_at	-17.67067701
252446_at	33.89911357
252478_at	-9.8536018
253022_at	-20.88022137
253058_at	14.94378669
253265_at	-14.11258626
253329_at	24.62735652
253551_at	-13.87978403
253638_at	-21.5601818
253778_at	18.03858878
253836_at	-14.34497962
253892_at	22.41168329
253921_at	17.73930674
254216_at	-13.28014804
254369_at	24.48052626
254372_at	-11.2461971
254462_at	-8.563084604
254730_at	17.40066394
255010_at	-14.22913744
255061_at	-26.35843965
255134_at	-20.14018563
255194_at	15.04098695
255257_at	-13.82148201
255283_at	-35.1964395
255554_at	-14.48969964
255821_at	14.16811259
255980_at	-28.91763383
256256_at	-14.54771422
256274_at	15.60701553
256305_at	13.80179931
256502_at	11.38214073
256744_at	-10.24935062
256785_at	-17.55891295
256915_at	11.25023569
257295_at	-19.72072502
257590_s_at	23.7237033
257756_at	12.93846965
257769_at	-23.51321872
257960_at	-29.51591299
257964_at	26.71258239
258033_at	-13.67562827
258047_at	-27.55747558
258092_at	-20.89354553
258214_at	36.13797027
258218_at	22.99367649
258380_at	-20.90724751
258394_at	-12.69116017
258432_at	-14.08358126
258831_at	18.15910185
259008_at	-19.92393064
259039_at	9.494558234
259102_at	-24.65682196
259148_at	10.1450179
259184_at	-16.87242328
259420_at	-15.53999619
259426_at	-20.01874256
259616_at	-25.41780627
259733_at	17.61969237
259759_at	13.53255368
259775_at	24.37445463
259803_at	-9.056817287
259882_at	-10.79448604
260045_at	-24.4523875
260103_at	-29.40869061
260267_at	-15.98150365
260501_at	-12.3064547
260774_at	-35.16930679
260873_at	-31.50327879
261144_s_at	-24.83495224
261403_at	-16.08091527
261669_at	21.31930187
261686_at	-12.12829151
262028_at	-29.62385441
262162_at	-17.44719585
262164_at	-31.51520938
262262_at	16.51040829
262304_at	-23.75883853
262461_at	-17.86476054
262487_at	18.94043786
262870_at	-31.00330215
262958_at	-9.578610627
262959_at	-16.74608259
263075_at	-28.36177889
263242_at	14.98264033
263325_at	-22.24749985
263349_at	9.5872656
263422_s_at	-15.06662166
263593_at	26.34860956
263631_at	-10.9151651
264071_at	-30.2995062
264137_at	-19.42110394
264199_at	13.12976999
264206_at	21.62759507
264423_at	28.50450792
264629_at	-18.52954883
264658_at	-21.9842042
264665_at	17.97899593
264986_at	-10.0364484
265057_at	22.82793292
265357_at	-22.8896606
265398_at	15.13843997
