"id"	"pri_exp"	"exp_mature"	"pri_mature"	"pri_exp_mat"
"1"	"exp_mature"	NA	"256836_at"	NA	NA
"2"	"exp_mature"	NA	"263665_at"	NA	NA
"3"	"exp_mature"	NA	"249948_at"	NA	NA
"4"	"exp_mature"	NA	"249217_at"	NA	NA
"5"	"exp_mature"	NA	"258500_at"	NA	NA
"6"	"exp_mature"	NA	"262667_at"	NA	NA
"7"	"exp_mature"	NA	"248868_at"	NA	NA
"8"	"exp_mature"	NA	"257895_at"	NA	NA
"9"	"exp_mature"	NA	"250854_at"	NA	NA
"10"	"exp_mature"	NA	"251860_at"	NA	NA
"11"	"exp_mature"	NA	"264655_at"	NA	NA
"12"	"exp_mature"	NA	"246529_at"	NA	NA
"13"	"exp_mature"	NA	"264179_at"	NA	NA
"14"	"exp_mature"	NA	"266582_at"	NA	NA
"15"	"exp_mature"	NA	"247034_at"	NA	NA
"16"	"exp_mature"	NA	"262119_s_at"	NA	NA
"17"	"exp_mature"	NA	"257708_at"	NA	NA
"18"	"exp_mature"	NA	"250226_at"	NA	NA
"19"	"exp_mature"	NA	"251858_at"	NA	NA
"20"	"exp_mature"	NA	"264592_at"	NA	NA
"21"	"exp_mature"	NA	"247188_at"	NA	NA
"22"	"exp_mature"	NA	"251673_at"	NA	NA
"23"	"exp_mature"	NA	"262775_at"	NA	NA
"24"	"exp_mature"	NA	"252234_at"	NA	NA
"25"	"exp_mature"	NA	"263053_at"	NA	NA
"26"	"exp_mature"	NA	"250818_at"	NA	NA
"27"	"exp_mature"	NA	"258201_at"	NA	NA
"28"	"exp_mature"	NA	"250923_at"	NA	NA
"29"	"exp_mature"	NA	"257700_at"	NA	NA
"30"	"exp_mature"	NA	"258566_at"	NA	NA
"31"	"exp_mature"	NA	"252979_at"	NA	NA
"32"	"exp_mature"	NA	"255714_at"	NA	NA
"33"	"exp_mature"	NA	"260967_at"	NA	NA
"34"	"exp_mature"	NA	"265679_at"	NA	NA
"35"	"exp_mature"	NA	"248945_at"	NA	NA
"36"	"exp_mature"	NA	"256021_at"	NA	NA
"37"	"exp_mature"	NA	"246505_at"	NA	NA
"38"	"exp_mature"	NA	"263852_at"	NA	NA
"39"	"exp_mature"	NA	"266617_at"	NA	NA
"40"	"exp_mature"	NA	"262913_at"	NA	NA
"41"	"exp_mature"	NA	"259434_at"	NA	NA
"42"	"exp_mature"	NA	"251445_at"	NA	NA
"43"	"exp_mature"	NA	"267185_at"	NA	NA
"44"	"exp_mature"	NA	"245899_at"	NA	NA
"45"	"exp_mature"	NA	"251244_at"	NA	NA
"46"	"exp_mature"	NA	"250111_at"	NA	NA
"47"	"exp_mature"	NA	"251422_at"	NA	NA
"48"	"exp_mature"	NA	"249690_at"	NA	NA
"49"	"exp_mature"	NA	"248283_at"	NA	NA
"50"	"exp_mature"	NA	"259591_at"	NA	NA
"51"	"exp_mature"	NA	"256838_at"	NA	NA
"52"	"exp_mature"	NA	"261605_at"	NA	NA
"53"	"exp_mature"	NA	"262109_at"	NA	NA
"54"	"exp_mature"	NA	"260943_at"	NA	NA
"55"	"exp_mature"	NA	"245266_at"	NA	NA
"56"	"exp_mature"	NA	"248330_at"	NA	NA
"57"	"exp_mature"	NA	"251773_at"	NA	NA
"58"	"exp_mature"	NA	"267246_at"	NA	NA
"59"	"exp_mature"	NA	"245686_at"	NA	NA
"60"	"exp_mature"	NA	"248903_at"	NA	NA
"61"	"exp_mature"	NA	"263495_at"	NA	NA
"62"	"exp_mature"	NA	"254331_s_at"	NA	NA
"63"	"exp_mature"	NA	"245998_at"	NA	NA
"64"	"exp_mature"	NA	"248608_at"	NA	NA
"65"	"exp_mature"	NA	"253647_at"	NA	NA
"66"	"exp_mature"	NA	"263749_at"	NA	NA
"67"	"exp_mature"	NA	"255742_at"	NA	NA
"68"	"exp_mature"	NA	"250032_at"	NA	NA
"69"	"exp_mature"	NA	"252193_at"	NA	NA
"70"	"exp_mature"	NA	"246124_at"	NA	NA
"71"	"exp_mature"	NA	"265384_at"	NA	NA
"72"	"exp_mature"	NA	"259507_at"	NA	NA
"73"	"exp_mature"	NA	"246976_s_at"	NA	NA
"74"	"exp_mature"	NA	"251730_at"	NA	NA
"75"	"exp_mature"	NA	"263150_at"	NA	NA
"76"	"exp_mature"	NA	"250470_at"	NA	NA
"77"	"exp_mature"	NA	"261165_at"	NA	NA
"78"	"exp_mature"	NA	"266099_at"	NA	NA
"79"	"exp_mature"	NA	"264355_at"	NA	NA
"80"	"exp_mature"	NA	"255243_at"	NA	NA
"81"	"exp_mature"	NA	"254615_at"	NA	NA
"82"	"exp_mature"	NA	"254259_s_at"	NA	NA
"83"	"exp_mature"	NA	"258108_at"	NA	NA
"84"	"exp_mature"	NA	"265843_at"	NA	NA
"85"	"exp_mature"	NA	"258401_at"	NA	NA
"86"	"exp_mature"	NA	"258499_at"	NA	NA
"87"	"exp_mature"	NA	"248906_at"	NA	NA
"88"	"exp_mature"	NA	"251060_at"	NA	NA
"89"	"exp_mature"	NA	"247405_at"	NA	NA
"90"	"exp_mature"	NA	"258086_at"	NA	NA
"91"	"exp_mature"	NA	"261355_at"	NA	NA
"92"	"exp_mature"	NA	"258310_at"	NA	NA
"93"	"exp_mature"	NA	"252023_at"	NA	NA
"94"	"exp_mature"	NA	"258000_at"	NA	NA
"95"	"exp_mature"	NA	"248402_at"	NA	NA
"96"	"exp_mature"	NA	"263785_at"	NA	NA
"97"	"exp_mature"	NA	"246214_at"	NA	NA
"98"	"exp_mature"	NA	"248146_at"	NA	NA
"99"	"exp_mature"	NA	"263755_at"	NA	NA
"100"	"exp_mature"	NA	"253273_at"	NA	NA
"101"	"exp_mature"	NA	"261255_at"	NA	NA
"102"	"exp_mature"	NA	"266303_at"	NA	NA
"103"	"exp_mature"	NA	"266119_at"	NA	NA
"104"	"exp_mature"	NA	"252114_at"	NA	NA
"105"	"exp_mature"	NA	"254833_s_at"	NA	NA
"106"	"exp_mature"	NA	"267220_at"	NA	NA
"107"	"exp_mature"	NA	"250339_at"	NA	NA
"108"	"exp_mature"	NA	"260793_at"	NA	NA
"109"	"exp_mature"	NA	"255696_at"	NA	NA
"110"	"exp_mature"	NA	"264377_at"	NA	NA
"111"	"exp_mature"	NA	"248679_at"	NA	NA
"112"	"exp_mature"	NA	"255325_at"	NA	NA
"113"	"exp_mature"	NA	"254267_at"	NA	NA
"114"	"exp_mature"	NA	"266087_at"	NA	NA
"115"	"exp_mature"	NA	"248944_at"	NA	NA
"116"	"exp_mature"	NA	"253377_at"	NA	NA
"117"	"exp_mature"	NA	"250775_at"	NA	NA
"118"	"exp_mature"	NA	"264851_at"	NA	NA
"119"	"exp_mature"	NA	"259806_at"	NA	NA
"120"	"exp_mature"	NA	"267362_at"	NA	NA
"121"	"exp_mature"	NA	"262823_at"	NA	NA
"122"	"exp_mature"	NA	"246613_at"	NA	NA
"123"	"exp_mature"	NA	"245200_at"	NA	NA
"124"	"exp_mature"	NA	"252572_at"	NA	NA
"125"	"exp_mature"	NA	"259752_at"	NA	NA
"126"	"exp_mature"	NA	"AFFX-Athal-GAPDH_M_s_at"	NA	NA
"127"	"exp_mature"	NA	"250289_at"	NA	NA
"128"	"exp_mature"	NA	"258665_at"	NA	NA
"129"	"exp_mature"	NA	"260644_at"	NA	NA
"130"	"exp_mature"	NA	"263632_at"	NA	NA
"131"	"exp_mature"	NA	"266781_at"	NA	NA
"132"	"exp_mature"	NA	"256835_at"	NA	NA
"133"	"exp_mature"	NA	"261692_at"	NA	NA
"134"	"exp_mature"	NA	"257621_at"	NA	NA
"135"	"exp_mature"	NA	"255032_at"	NA	NA
"136"	"exp_mature"	NA	"258048_at"	NA	NA
"137"	"exp_mature"	NA	"267256_s_at"	NA	NA
"138"	"exp_mature"	NA	"264107_s_at"	NA	NA
"139"	"exp_mature"	NA	"262370_at"	NA	NA
"140"	"exp_mature"	NA	"257654_at"	NA	NA
"141"	"exp_mature"	NA	"266977_at"	NA	NA
"142"	"exp_mature"	NA	"248134_at"	NA	NA
"143"	"exp_mature"	NA	"265269_at"	NA	NA
"144"	"exp_mature"	NA	"251333_at"	NA	NA
"145"	"exp_mature"	NA	"263226_at"	NA	NA
"146"	"exp_mature"	NA	"250203_at"	NA	NA
"147"	"exp_mature"	NA	"266181_at"	NA	NA
"148"	"exp_mature"	NA	"261378_at"	NA	NA
"149"	"exp_mature"	NA	"246583_at"	NA	NA
"150"	"exp_mature"	NA	"253646_at"	NA	NA
"151"	"exp_mature"	NA	"254166_at"	NA	NA
"152"	"exp_mature"	NA	"254040_at"	NA	NA
"153"	"exp_mature"	NA	"250565_at"	NA	NA
"154"	"exp_mature"	NA	"266746_s_at"	NA	NA
"155"	"exp_mature"	NA	"255953_at"	NA	NA
"156"	"exp_mature"	NA	"250125_at"	NA	NA
"157"	"exp_mature"	NA	"261167_at"	NA	NA
"158"	"exp_mature"	NA	"264399_at"	NA	NA
"159"	"exp_mature"	NA	"247722_at"	NA	NA
"160"	"exp_mature"	NA	"266035_at"	NA	NA
"161"	"exp_mature"	NA	"264893_at"	NA	NA
"162"	"exp_mature"	NA	"264418_at"	NA	NA
"163"	"exp_mature"	NA	"267064_at"	NA	NA
"164"	"exp_mature"	NA	"253911_at"	NA	NA
"165"	"exp_mature"	NA	"254141_at"	NA	NA
"166"	"exp_mature"	NA	"245333_at"	NA	NA
"167"	"exp_mature"	NA	"267472_at"	NA	NA
"168"	"exp_mature"	NA	"261583_at"	NA	NA
"169"	"exp_mature"	NA	"260852_at"	NA	NA
"170"	"exp_mature"	NA	"250768_at"	NA	NA
"171"	"exp_mature"	NA	"246396_at"	NA	NA
"172"	"exp_mature"	NA	"250560_at"	NA	NA
"173"	"exp_mature"	NA	"267154_at"	NA	NA
"174"	"exp_mature"	NA	"260065_at"	NA	NA
"175"	"exp_mature"	NA	"248332_at"	NA	NA
"176"	"exp_mature"	NA	"252931_at"	NA	NA
"177"	"exp_mature"	NA	"262571_at"	NA	NA
"178"	"exp_mature"	NA	"253987_at"	NA	NA
"179"	"exp_mature"	NA	"264956_at"	NA	NA
"180"	"exp_mature"	NA	"256755_at"	NA	NA
"181"	"exp_mature"	NA	"263048_s_at"	NA	NA
"182"	"exp_mature"	NA	"245188_at"	NA	NA
"183"	"exp_mature"	NA	"259228_at"	NA	NA
"184"	"exp_mature"	NA	"261518_at"	NA	NA
"185"	"exp_mature"	NA	"266721_at"	NA	NA
"186"	"exp_mature"	NA	"250430_at"	NA	NA
"187"	"exp_mature"	NA	"249331_at"	NA	NA
"188"	"exp_mature"	NA	"254388_at"	NA	NA
"189"	"exp_mature"	NA	"261859_at"	NA	NA
"190"	"exp_mature"	NA	"259588_at"	NA	NA
"191"	"exp_mature"	NA	"249581_at"	NA	NA
"192"	"exp_mature"	NA	"248794_at"	NA	NA
"193"	"exp_mature"	NA	"251140_at"	NA	NA
"194"	"exp_mature"	NA	"260656_at"	NA	NA
"195"	"exp_mature"	NA	"260772_at"	NA	NA
"196"	"exp_mature"	NA	"258894_at"	NA	NA
"197"	"exp_mature"	NA	"252414_at"	NA	NA
"198"	"exp_mature"	NA	"251669_at"	NA	NA
"199"	"exp_mature"	NA	"248547_at"	NA	NA
"200"	"exp_mature"	NA	"260384_at"	NA	NA
"201"	"exp_mature"	NA	"259858_at"	NA	NA
"202"	"exp_mature"	NA	"259560_at"	NA	NA
"203"	"exp_mature"	NA	"258041_at"	NA	NA
"204"	"exp_mature"	NA	"AFFX-r2-At-GAPDH-3_s_at"	NA	NA
"205"	"exp_mature"	NA	"259364_at"	NA	NA
"206"	"exp_mature"	NA	"248551_at"	NA	NA
"207"	"exp_mature"	NA	"249835_s_at"	NA	NA
"208"	"exp_mature"	NA	"265530_at"	NA	NA
"209"	"exp_mature"	NA	"263425_at"	NA	NA
"210"	"exp_mature"	NA	"262157_at"	NA	NA
"211"	"exp_mature"	NA	"252134_at"	NA	NA
"212"	"exp_mature"	NA	"248792_at"	NA	NA
"213"	"exp_mature"	NA	"251182_at"	NA	NA
"214"	"exp_mature"	NA	"254125_at"	NA	NA
"215"	"exp_mature"	NA	"255148_at"	NA	NA
"216"	"exp_mature"	NA	"247325_at"	NA	NA
"217"	"exp_mature"	NA	"251278_at"	NA	NA
"218"	"exp_mature"	NA	"254174_at"	NA	NA
"219"	"exp_mature"	NA	"262738_at"	NA	NA
"220"	"exp_mature"	NA	"261921_at"	NA	NA
"221"	"exp_mature"	NA	"264177_at"	NA	NA
"222"	"exp_mature"	NA	"254083_at"	NA	NA
"223"	"exp_mature"	NA	"256627_at"	NA	NA
"224"	"exp_mature"	NA	"253585_at"	NA	NA
"225"	"exp_mature"	NA	"261660_at"	NA	NA
"226"	"exp_mature"	NA	"251807_at"	NA	NA
"227"	"exp_mature"	NA	"249918_at"	NA	NA
"228"	"exp_mature"	NA	"267460_at"	NA	NA
"229"	"exp_mature"	NA	"252291_s_at"	NA	NA
"230"	"exp_mature"	NA	"266101_at"	NA	NA
"231"	"exp_mature"	NA	"258300_at"	NA	NA
"232"	"exp_mature"	NA	"245810_at"	NA	NA
"233"	"exp_mature"	NA	"250486_at"	NA	NA
"234"	"exp_mature"	NA	"260847_s_at"	NA	NA
"235"	"exp_mature"	NA	"252095_at"	NA	NA
"236"	"exp_mature"	NA	"245718_at"	NA	NA
"237"	"exp_mature"	NA	"260217_at"	NA	NA
"238"	"exp_mature"	NA	"266509_at"	NA	NA
"239"	"exp_mature"	NA	"246384_at"	NA	NA
"240"	"exp_mature"	NA	"251736_at"	NA	NA
"241"	"exp_mature"	NA	"266474_at"	NA	NA
"242"	"exp_mature"	NA	"251068_at"	NA	NA
"243"	"exp_mature"	NA	"264656_at"	NA	NA
"244"	"exp_mature"	NA	"250829_at"	NA	NA
"245"	"exp_mature"	NA	"252646_at"	NA	NA
"246"	"exp_mature"	NA	"246398_at"	NA	NA
"247"	"exp_mature"	NA	"262231_at"	NA	NA
