"Probe_Set_ID"	"AT_number"	"Description"	"CO2_pvalue"	"Dev_pvalue"	"CO2byDev_pvalue"	"percentchangeco2_primordia"	"percentchangeco2_expanding"	"percentchangeco2_fullexpand"	"Kmeans_cluster"	"mapman_bin"
"244912_at"	"ccb382"	"not assigned.disagreeing hits"	0.7791	9.999e-05	0.3824	-11.5460609787838	14.1746855663809	-7.05754654704075	7	"35.3"
"244921_s_at"	"orf114"	"not assigned.unknown"	0.7237	0.0239	0.7912	8.40725838389278	10.6743963245354	-6.23587095218479	4	"35.2"
"244932_at"	"psaC"	"PS.lightreaction.photosystem I.PSI polypeptide subunits"	0.4988	9.999e-05	0.2196	6.53367920497921	54.4123098040705	-18.7156056497275	4	"1.1.2.2"
"244933_at"	"ndhE"	"PS.lightreaction.cyclic electron flow-chlororespiration"	0.4974	9.999e-05	0.4725	24.691141373017	44.2085584661332	-17.4541843018015	4	"1.1.40"
"244934_at"	"ndhG"	"PS.lightreaction.NADH DH"	0.6179	9.999e-05	0.5874	21.0523703836451	13.1489891969963	-10.8624108050442	4	"1.1.6"
"244935_at"	"ndhI"	"PS.lightreaction.cyclic electron flow-chlororespiration"	0.2921	9.999e-05	0.49	1.34585259594011	-3.96920951783795	-6.80561582107975	4	"1.1.40"
"244936_at"	"ndhA"	"PS.lightreaction.cyclic electron flow-chlororespiration"	0.5366	9.999e-05	0.5127	0.32199517604261	1.55758750834276	-10.9377695405643	4	"1.1.40"
"244937_at"	"ndhH"	"PS.lightreaction.cyclic electron flow-chlororespiration"	0.3922	0.0016	0.5109	-15.91016670823	11.5770760136533	-27.3055613867727	4	"1.1.40"
"244938_at"	"rps15"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S15"	0.7119	3e-04	0.678	0.254153494167141	6.5816439576665	-20.1471799320911	5	"29.2.1.1.1.1.15"
"244939_at"	"rps12.1"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S12"	0.6585	0.0208	0.5543	-15.2245940398988	15.6526100915592	-13.5512267458745	4	"29.2.1.1.1.1.12"
"244940_at"	"rps12.2"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S12"	0.3774	8e-04	0.5306	-14.7498006990863	7.79094880566504	-15.8889979603801	4	"29.2.1.1.1.1.12"
"244944_s_at"	"rpl16.mitochondria"	"protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S16"	0.273	9.999e-05	0.1556	-14.547604622134	26.3479823162485	27.6265902389366	7	"29.2.1.1.2.1.16"
"244951_s_at"	"ccb452"	"not assigned.disagreeing hits"	0.7843	0.0114	0.2432	-16.477729538511	14.381201791441	12.2808488283062	3	"35.3"
"244961_at"	"ycf5"	"protein.assembly and cofactor ligation"	0.1632	9.999e-05	0.4454	-3.34432154468761	-2.26412438477714	-15.2030083887764	4	"29.8"
"244962_at"	"ndhD"	"PS.lightreaction.NADH DH"	0.443	9.999e-05	0.5727	8.29680511014545	19.3104161705749	-5.11879878931628	4	"1.1.6"
"244963_at"	"psbF"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.1323	9.999e-05	0.1338	3.00567661177533	-5.04653078053436	-13.9599098084899	4	"1.1.1.2"
"244964_at"	"psbE"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.2103	9.999e-05	0.3854	3.2850209196173	-11.1008677116138	-10.2114089678509	4	"1.1.1.2"
"244965_at"	"ORF31"	"PS.lightreaction.cytochrome b6/f"	0.336	3e-04	0.4803	3.33736417619772	61.0672246580335	-0.716632406828143	4	"1.1.3"
"244966_at"	"petG"	"PS.lightreaction.cytochrome b6/f"	0.4999	0.0041	0.4769	-7.62991611336568	55.9180397470482	0.0931158621501841	4	"1.1.3"
"244967_at"	"psaJ"	"PS.lightreaction.photosystem I.PSI polypeptide subunits"	0.9912	9.999e-05	0.7552	-0.657781931797194	8.62108003716611	-7.59085923185389	4	"1.1.2.2"
"244968_at"	"rpl33"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L33"	0.7383	0.0016	0.8266	3.25007279808677	-1.99914515882299	-11.5385832511923	5	"29.2.1.1.1.2.33"
"244969_at"	"rps18"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S18"	0.7499	0.0153	0.9421	0.423984986204839	8.27843968942799	0.87536645095871	5	"29.2.1.1.1.1.18"
