Mapman_Bin	BinName	id	description	Primordia	Expanding	Mature	Figure
4.1.12	glycolysis.cytosolic branch.3-phosphoglycerate kinase (PGK)	262944_at	(at1g79550): Symbols: PGK | PGK (PHOSPHOGLYCERATE KINASE); phosphoglycerate kinase | chr1:29924023-29926442 REVERSE	NS	NS	21.432198	5
4.1.11	glycolysis.cytosolic branch.aldolase	253966_at	"(at4g26520): fructose-bisphosphate aldolase, cytoplasmic | chr4:13388386-13390374 FORWARD"	NS	NS	-18.246393	5
4.1.4	glycolysis.cytosolic branch.glucose-6-phosphate isomerase	249163_at	"(at5g42740): glucose-6-phosphate isomerase, cytosolic (PGIC) | chr5:17135692-17140892 FORWARD"	NS	-22.040974	NS	5
4.1.9	glycolysis.cytosolic branch.glyceraldehyde 3-phosphate dehydrogenase (GAP-DH)	258588_s_at	"(at3g04120): Symbols: GAPC, GAPC-1, GAPC1 | GAPC1 (GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE C SUBUNIT 1); glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)/ glyceraldehyde-3-phosphate dehydrogenase | chr3:1080950-1083530 FORWARD"	NS	NS	37.585373	5
4.1.16	glycolysis.cytosolic branch.phospho-enol-pyruvate carboxylase (PEPC)	260590_at	(at1g53310): Symbols: ATPPC1 | ATPPC1 (PHOSPHOENOLPYRUVATE CARBOXYLASE 1); catalytic/ phosphoenolpyruvate carboxylase | chr1:19884027-19888276 REVERSE	NS	NS	27.109282	5
4.1.5	glycolysis.cytosolic branch.phosphofructokinase (PFK)	253987_at	(at4g26270): Symbols: PFK3 | PFK3 (PHOSPHOFRUCTOKINASE 3); 6-phosphofructokinase | chr4:13300795-13304347 REVERSE	NS	NS	29.826525	5
4.1.5	glycolysis.cytosolic branch.phosphofructokinase (PFK)	253987_at	(at4g26270): Symbols: PFK3 | PFK3 (PHOSPHOFRUCTOKINASE 3); 6-phosphofructokinase | chr4:13300795-13304347 REVERSE	NS	49.307873	NS	5
4.1.13	glycolysis.cytosolic branch.phosphoglycerate mutase	255033_at	(at4g09520): catalytic/ metal ion binding / phosphoglycerate mutase | chr4:6024896-6027055 REVERSE	NS	NS	-19.577576	5
4.1.13	glycolysis.cytosolic branch.phosphoglycerate mutase	258679_at	"(at3g08590): 2,3-biphosphoglycerate-independent phosphoglycerate mutase, putative / phosphoglyceromutase, putative | chr3:2608471-2611418 REVERSE"	NS	NS	15.2260685	5
4.1.6	glycolysis.cytosolic branch.pyrophosphate-fructose-6-P phosphotransferase	262806_at	(at1g20950): pyrophosphate--fructose-6-phosphate 1-phosphotransferase-related / pyrophosphate-dependent 6-phosphofructose-1-kinase-related | chr1:7297239-7301415 REVERSE	NS	-17.29343	NS	5
4.1.15	glycolysis.cytosolic branch.pyruvate kinase (PK)	247338_at	"(at5g63680): pyruvate kinase, putative | chr5:25490073-25492752 FORWARD"	NS	NS	39.107216	5
4.1.15	glycolysis.cytosolic branch.pyruvate kinase (PK)	263922_s_at	"MULTIPLE HITS: (at2g36580,at3g52990). at2g36580: pyruvate kinase, putative | chr2:15339122-15343086 FORWARD at3g52990: pyruvate kinase, putative | chr3:19648861-19652508 FORWARD"	NS	NS	15.891021	5
2.2.1.4	major CHO metabolism.degradation.sucrose.hexokinase	266702_at	"(at2g19860): Symbols: ATHXK2, HXK2 | HXK2 (HEXOKINASE 2); ATP binding / fructokinase/ glucokinase/ hexokinase | chr2:8570750-8574000 FORWARD"	NS	NS	-16.22991	5
2.2.1.3.1	major CHO metabolism.degradation.sucrose.invertases.neutral	258507_at	"(at3g06500): beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative | chr3:2012079-2015705 FORWARD"	NS	NS	35.483063	5
2.2.1.3.1	major CHO metabolism.degradation.sucrose.invertases.neutral	255038_at	"(at4g09510): Symbols: CINV2 | beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative | chr4:6021164-6023873 REVERSE"	NS	-23.452871	NS	5
2.2.1.5	major CHO metabolism.degradation.sucrose.Susy	245998_at	"(at5g20830): Symbols: SUS1, ASUS1, atsus1 | SUS1 (SUCROSE SYNTHASE 1); UDP-glycosyltransferase/ sucrose synthase | chr5:7050226-7054120 REVERSE"	NS	NS	25.357637	5
2.2.1.5	major CHO metabolism.degradation.sucrose.Susy	245998_at	"(at5g20830): Symbols: SUS1, ASUS1, atsus1 | SUS1 (SUCROSE SYNTHASE 1); UDP-glycosyltransferase/ sucrose synthase | chr5:7050226-7054120 REVERSE"	NS	42.590855	NS	5
9.6	mitochondrial electron transport / ATP synthesis.cytochrome c	246309_at	(at3g51790): Symbols: ATG1 | ATG1 (ARABIDOPSIS TRANSMEMBRANE PROTEIN G1P-RELATED 1) | chr3:19209585-19210744 REVERSE	NS	NS	45.70891	6
9.6	mitochondrial electron transport / ATP synthesis.cytochrome c	255011_at	(at4g10040): Symbols: CYTC-2 | CYTC-2 (cytochrome c-2); electron carrier/ heme binding / iron ion binding | chr4:6276998-6278509 FORWARD	NS	NS	19.758858	6
9.6	mitochondrial electron transport / ATP synthesis.cytochrome c	264727_at	"(at1g22840): Symbols: CYTC-1, ATCYTC-A | CYTC-1 (CYTOCHROME C-1); electron carrier/ heme binding / iron ion binding | chr1:8079287-8080574 FORWARD"	NS	-4.832028	11.996339	6
